osm_type,osm_id,name,name:be,name:ru
way,278276552,"""Урожай""",,"""Урожай"""
node,604715842,Cолярий / Фитнесс-центр,,Cолярий / Фитнесс-центр
node,8749709719,"Cпортивный клуб ""Зеркало""",,"Cпортивный клуб ""Зеркало"""
node,6311414385,Адмирал,,Адмирал
node,9834080244,Адреналин,,Адреналин
way,29124811,Аквацентр,,Аквацентр
node,4559431189,Аллигатор,,Аллигатор
way,25327304,Амкодор,,Амкодор
way,703460798,Антивандальные турники и снаряды,,Антивандальные турники и снаряды
way,972331367,Антивандальные турники и снаряды,,Антивандальные турники и снаряды
node,3914384310,Арочник,,Арочник
node,5231495040,Астерра,,Астерра
node,2621545796,Атлет,,Атлет
node,3604980601,Атлетик,,Атлетик
node,7037636499,Аштанга йога шала,,Аштанга йога шала
way,298483691,Баржа,,Баржа
node,5854645590,Басейн,,Басейн
node,8749709725,"Баскетбольный клуб ""Горизонт""",,"Баскетбольный клуб ""Горизонт"""
way,761436547,"Бассейн ""Волат""",,"Бассейн ""Волат"""
node,5030168526,Бассейн «Капелька»,,Бассейн «Капелька»
node,4375352625,Бассейн БГПУ,,Бассейн БГПУ
node,5198165659,Бассейн БелГУТа,,Бассейн БелГУТа
way,447671684,Бассейн Нептун,,Бассейн Нептун
way,29160019,Бассейн СДЮШОР № 5,,Бассейн СДЮШОР № 5
way,38536255,Бассейн СШ № 57,,Бассейн СШ № 57
node,4500848047,Бассейн СШ №56,,Бассейн СШ №56
node,2939827511,Бассейн СШ №59,,Бассейн СШ №59
way,203019351,Бассейн сан. Зелёный Бор,,Бассейн сан. Зелёный Бор
way,108490704,Бассейн школы,,Бассейн школы
way,728782144,Бассейн №2,,Бассейн №2
node,3967912613,Батутная арена ДжойДжамп в Минске,,Батутная арена ДжойДжамп в Минске
way,38537329,Беговая дорожка СШ№ 57,,Беговая дорожка СШ№ 57
way,239128457,Бейсбольный стадион,,Бейсбольный стадион
way,309335525,"Бейсбольный стадион БК ""Политехник""",,"Бейсбольный стадион БК ""Политехник"""
node,275912935,Белорусская федерация бадминтона,,Белорусская федерация бадминтона
way,914934172,Биатлонный центр,,Биатлонный центр
way,920118783,"Бильярдный ""Классик""",,"Бильярдный ""Классик"""
way,223756250,Бобруйск-Арена,,Бобруйск-Арена
node,4712968516,Боди-Арт,,Боди-Арт
way,353437021,Боевое поле,,Боевое поле
node,827272347,Бойцовский клуб,,Бойцовский клуб
node,8749709722,"Борцовский клуб ""Булат""",,"Борцовский клуб ""Булат"""
node,3828404704,"Боулинг ""Спартак""",,"Боулинг ""Спартак"""
node,7945989450,Брутто,,Брутто
way,215055670,Быховский районный физкультурно-оздоровительный центр,,Быховский районный физкультурно-оздоровительный центр
way,85920793,"ВСК ""Лесной""",,"ВСК ""Лесной"""
node,3533123047,Велобаза,,Велобаза
way,119208177,Велотриальные Трассы,,Велотриальные Трассы
node,8792168235,Веревочный город,,Веревочный город
node,3657483472,Веревочный курс,,Веревочный курс
way,410953193,Верёвочный городок,,Верёвочный городок
way,410955201,"Верёвочный городок ""Тарзания""",,"Верёвочный городок ""Тарзания"""
way,483290608,Водно-оздоровительный центр,,Водно-оздоровительный центр
way,133398982,Водный дворец,,Водный дворец
way,606517571,Военно-спортивный клуб «Зубр»,,Военно-спортивный клуб «Зубр»
way,664180373,Военный стадион,,Военный стадион
way,460056005,Воркаут-площадка,,Воркаут-площадка
node,9160825853,Выбивание ковров,,Выбивание ковров
node,4548369958,Вьет-Во-Дао,,Вьет-Во-Дао
way,25321783,"ГУО ""Физкультурно-спортивный центр детей и молодежи Советского района г. Минска""",,"ГУО ""Физкультурно-спортивный центр детей и молодежи Советского района г. Минска"""
way,453361100,Газпром Трансгаз Беларусь,,Газпром Трансгаз Беларусь
