osm_type,osm_id,name,name:be,name:ru
node,12216830802,"Вещевой рынок ""Модный квартал""",,
node,12216851401,"Вещевой рынок ""Модный квартал""",,
node,12218154701,"Вещевой рынок ""Модный квартал""",,
node,11672571973,Книжная ярмарка,,
node,11666088710,Место реализации с/х продукции и даров леса,,
node,11882014117,Место реализации с/х продукции и даров леса,,
node,12294664771,Место реализации с/х продукции и даров леса,,
way,835074318,Мини рынок,,
way,1176572640,Минирынок,,
way,1297644734,Рынок,,
node,11879114076,Слободской,,
way,478053315,Стадзедаўскі рынак,,
