osm_type,osm_id,name,name:be,name:ru
way,1089080124,Автомобильная мастерская,,
way,586189321,Бакалея,,
way,965890046,"ЗАО ""ПинскГАЗавтосервис""",,
node,9909252067,ЗАО Консул,,
way,1083078924,Крановый узел,,
way,231040564,Лесопилка,,
way,680019567,"Машинный двор с/х цеха ООО ""Пружанский райагросервис""",,
way,693908752,Могилевский райтопсбыт,,
way,1082996816,Молочно-товарное фермерство,,
way,1085415627,Растворно-бетонный узел,,
way,1089080162,Сортировочно-перегрузочная станция,,
way,1085084606,"Территория РУП ""Пинская региональная типография""",,
way,598189402,"УЧТПП ""Доверие""",,
way,1089080114,Филиал «НПС Пинск»,,
way,1089111261,"ЧТПУП ""Сэндвэст""",,
way,1084390772,"ЧУТПП ""Восход-сервис""",,
