osm_type,osm_id,name,name:be,name:ru
way,1423834150,"База отдыха ""Мир""",,"База отдыха ""Мир"""
way,460985280,ГСПК №1,,ГСПК №1
way,381949073,ДОЛ«Дубравушка»,,ДОЛ«Дубравушка»
way,1423834149,Епархиальный духовно-просветительскый центр «Дружба»,,Епархиальный духовно-просветительскый центр «Дружба»
way,1232869003,Зелёный слон,,Зелёный слон
way,1274417245,Карьер песка Дубое,,Карьер песка Дубое
way,1301247469,"Карьер песка и песчано-гравийной породы ""Мотужинское""",,"Карьер песка и песчано-гравийной породы ""Мотужинское"""
way,1078001262,Костёл прихода благословленного ксендза Михала Сопоцьки,,Костёл прихода благословленного ксендза Михала Сопоцьки
way,1391379828,"Крестьянско-фермерское хозяйство ""СМИ""",,"Крестьянско-фермерское хозяйство ""СМИ"""
way,430645336,Лесопитомник,,Лесопитомник
way,1312689109,Минский городской  социальный пансионат Очаг,,Минский городской  социальный пансионат Очаг
way,1425285897,"Областной детский оздоровительный лагерь ""Ювента""",,"Областной детский оздоровительный лагерь ""Ювента"""
way,509998172,"ПГК ""Автовосточный""",,"ПГК ""Автовосточный"""
way,1315680707,"Санаторий ""Радон""",,"Санаторий ""Радон"""
way,1288841343,Турцентр Юность,,Турцентр Юность
way,435254872,Усадьба VODAR,,Усадьба VODAR
