osm_type,osm_id,name,name:be,name:ru
way,530962880,АвтоСтройПрестиж,,АвтоСтройПрестиж
way,121155855,"Автодром УО ГУЦ ""Белдорстрой""",,"Автодром УО ГУЦ ""Белдорстрой"""
way,487016267,Автосалон №1,,Автосалон №1
way,507621164,Автостоянка №15,,Автостоянка №15
way,681117172,"Агроусадьба ""У Рыся""",,"Агроусадьба ""У Рыся"""
way,404070813,Адреналин,,Адреналин
way,601322308,База ПГРЭС и ПСРЭС,,База ПГРЭС и ПСРЭС
way,687663875,"Банкетный центр ""Комарово""",,"Банкетный центр ""Комарово"""
node,7927583005,Белоруснефть № 26,,Белоруснефть № 26
way,612731208,Берёза-Лада,,Берёза-Лада
way,531100909,Бронногорское лесничество,,Бронногорское лесничество
way,880749338,Велес-Мит,,Велес-Мит
way,880749339,Велес-Мит,,Велес-Мит
way,372061461,Вилейские РЭС,,Вилейские РЭС
way,241774805,Витебская универсальная оптовая база,,Витебская универсальная оптовая база
way,549150032,Волковысское лесничество,,Волковысское лесничество
way,160321161,ГИ Охрана растительного и животного мира,,ГИ Охрана растительного и животного мира
way,543395370,Газпромнефть,,Газпромнефть
way,424021473,Газпромнефть №57,,Газпромнефть №57
way,354896866,Голливуд,,Голливуд
way,459006761,Гомельская таможня,,Гомельская таможня
way,316919473,Дачный Дискаунтер уДачи.бел,,Дачный Дискаунтер уДачи.бел
way,259033118,Депортамент охраны,,Депортамент охраны
way,789256529,Желудокское лесничество,,Желудокское лесничество
way,606687244,Жировичское Лесничество,,Жировичское Лесничество
way,279551065,"Заброшенные строения почты, магазина и т.п.",,"Заброшенные строения почты, магазина и т.п."
way,550881950,Зеленевичское лесничество,,Зеленевичское лесничество
way,449437225,Зельвенское лесничество,,Зельвенское лесничество
way,996657485,"Зона ожидания ""Бенякони""",,"Зона ожидания ""Бенякони"""
way,614269332,Зона ожидания «Берестовица»,,Зона ожидания «Берестовица»
way,789709247,Зона ожидания электронной очереди,,Зона ожидания электронной очереди
way,706436002,"Зона отдыха ""ЗЕЛЁНЫЙ МИР""",,"Зона отдыха ""ЗЕЛЁНЫЙ МИР"""
way,265833953,ИП Мамедов,,ИП Мамедов
way,315654355,Ивановское лесничество,,Ивановское лесничество
way,256125549,КФХ Марачкина,,КФХ Марачкина
way,603468176,Корпорация М8,,Корпорация М8
way,111565936,Курасовщинский рынок,,Курасовщинский рынок
way,568512287,Лукойл № 49,,Лукойл № 49
way,671560186,Лысковское лесничество,,Лысковское лесничество
way,601395855,Ляховичский лесхоз,,Ляховичский лесхоз
way,258084283,Марко-сервис,,Марко-сервис
way,771629673,Микашевичское лесничество,,Микашевичское лесничество
way,596744980,Молчадское лесничество,,Молчадское лесничество
way,727896476,На Замковой,,На Замковой
way,1001083568,Научно-технологический парк ГрГУ,,Научно-технологический парк ГрГУ
way,706379650,Наше место,,Наше место
way,865622127,Несвижское лесничество,,Несвижское лесничество
way,319297568,"ОАО ""Мотольские окна""",,"ОАО ""Мотольские окна"""
way,48185303,"ООО ""ВестТрансАвто""",,"ООО ""ВестТрансАвто"""
way,198380383,"ООО ""ЗельваТурСервис""",,"ООО ""ЗельваТурСервис"""
way,957601083,"Офисно - складской комплекс ""ДахМаркет""",,"Офисно - складской комплекс ""ДахМаркет"""
way,484753032,Парк Высоких Технологий,,Парк Высоких Технологий
way,687663874,"Парк активного отдыха ""0,67""",,"Парк активного отдыха ""0,67"""
way,613518262,"Производственная база ООО ""Ютотур""",,"Производственная база ООО ""Ютотур"""
way,290571426,"РУП ""Белтелеком""",,"РУП ""Белтелеком"""
way,396689985,Раковское лесничество,,Раковское лесничество
way,704503556,Речицкое лесничество,,Речицкое лесничество
way,606477472,"Ритуальное агентство ""Белый ангел""",,"Ритуальное агентство ""Белый ангел"""
way,605821566,Румское лесничество,,Румское лесничество
way,230851882,СООО «ТрансЭкспедиция»,,СООО «ТрансЭкспедиция»
way,606402570,Сеньковщинское лесничество,,Сеньковщинское лесничество
way,344028378,Сервис,,Сервис
way,617243638,Споровское лесничество,,Споровское лесничество
way,502891444,"ТЛЦ ""Брест-Белтаможсервис""",,"ТЛЦ ""Брест-Белтаможсервис"""
way,367135068,"ТЧУП ""Сергеев В""",,"ТЧУП ""Сергеев В"""
way,369069876,Территория сельскохозяйственного лицея,,Территория сельскохозяйственного лицея
way,505082459,Торговый УГОЛ,,Торговый УГОЛ
way,743344973,Транснефть-Дружба,,Транснефть-Дружба
way,274707227,Транспортно-логистический центр «Бремино-Брузги»,,Транспортно-логистический центр «Бремино-Брузги»
way,692849698,"Управляющая компания ""Офис Соседи""",,"Управляющая компания ""Офис Соседи"""
way,527531037,Учебный центр НБРБ,,Учебный центр НБРБ
way,334669357,"Фабрика кухонь ""ГеосИдеал""",,"Фабрика кухонь ""ГеосИдеал"""
way,570336032,"Филиал ЦСО ""Бенякони""",,"Филиал ЦСО ""Бенякони"""
way,283199591,"Центр торговли и логистики ""Королев Стан""",,"Центр торговли и логистики ""Королев Стан"""
way,136883935,ЧТУП Витгрузавтотранс,,ЧТУП Витгрузавтотранс
way,598851350,Шерешевское лесничество,,Шерешевское лесничество
way,372061471,Энергосбыт,,Энергосбыт
way,542153020,дом быта,,дом быта
way,350515512,сенажная яма,,сенажная яма
