osm_type,osm_id,name,name:be,name:ru
way,1445251981,Cтроительство новой инфекционной больницы Минска,,
way,1244769277,Будаўніцтва гарадской клінічнай бальніцы № 9,,
way,1476583263,Будоўля АЗС Беларусьнафта,,
way,975140631,Будоўля парку,,
way,1313764852,"ЖК ""Ласточка""",,
way,503952497,"ЖК ""Северный бульвар""",,
way,424771757,ЖК Центр,,
way,1319431786,ЖК Чайка,,
way,1319603183,Застройка группы многоквартирных жилых домов по ул. Карьерной в г. Бресте,,
way,1498133450,"Земельный участок для строительства инженерно-транспортной инфраструктуры по объекту "" Проект застройки в квартале ул. Советская-Федюнинского-Лепешинского в г.Гомеле. Расчетно-планировочный квартал № 2 по адресу: г.Гомель, ул. Федюнинского, 4Г""",,
way,1378914261,Квартал индивидуальной жилой застройки восточнее деревни Жабчицы Пинского района,,
way,286664278,Подготовка территории для строительства детской поликлинники в границах ул. Грушевская - ул. Щорса,,
way,1462755628,Производственный корпус В8,,
way,410007705,Реконструкция военного городка под склад,,
way,1436857488,Реконструкция моста,,
way,1368704230,Роял Парк,,
way,1019860910,Рубиновая 27,,
way,1388829392,Снос ЗИПа,,
way,1427750122,Строительство Кафе,,
way,1435667851,Строительство ТЦ Проспект,,
way,1337701121,Строительство Цента трансфузиологии,,
way,1445398911,Строительство автостоянки,,
way,1239524120,Строительство административного здания,,
way,1470874832,Строительство жилого дома,,
way,1288430898,Строительство магазина непродовольственных товаров,,
way,1482172289,Строительство многоуровневого паркинга,,
way,585216194,Строительство многоуровнего паркинга,,
way,1526655923,Строительство паркинга,,
way,1302231169,"Строительство поликлиники в микрорайоне №4 жилого района ""Аэропорт"" г. Полоцка",,
way,105160797,Строительство специализированного спортивного зала для индорхоккея,,
way,1389573970,Стройка гостиницы до июня 2026г.,,
way,580595615,Стройка школы,,
way,1470874831,Стройплощадка,,
way,1356128702,будаўніцтва храма,,
way,1382557751,строительство котельной,,
