osm_type,osm_id,name,name:be,name:ru
node,13543601948,Антонава,,
node,13646160461,Асобіна,,
node,13543601950,Балафёнава,,
node,13646160471,Белькі,,
node,13646160460,Вылаззе,,
node,13646160474,Гарадзінка,,
node,13543601940,Гіршава,,
node,13646160468,Дарбін,,
node,13646160473,Двор Валосавічы,,
node,13646160454,Дворышча,,
node,13646160466,Забалота,,
node,13543601947,Змітрава,,
way,493079222,КФХ,,
way,1259353111,КФХ,,
way,1454742186,КФХ,,
way,1454742216,КФХ,,
way,1454977109,КФХ,,
way,1456353962,КФХ,,
way,1458337929,КФХ,,
way,1460319114,КФХ,,
way,1467123585,КФХ,,
node,13543601938,Каплоўка,,
node,13646160456,Кашоўка,,
node,13543601952,Клунскае,,
node,13646160455,Круглішча,,
node,13543601945,Ліпнікі,,
node,13646160469,Масткі,,
node,13646160457,Мяжэлішча,,
way,1476538284,Новіцкае,,
node,13646160463,Падасіннік,,
node,13646160467,Падвінішча,,
node,13646160472,Падліпкі,,
way,1120334169,Палi арашэння i фiльтрацыi,,
node,13543601939,Патапава,,
way,1237761767,Поле,,
way,1237761768,Поле,,
way,1237761772,Поле,,
node,13646160459,Савін Рог,,
way,1234859124,Сельскохозяйственные угодья,,
node,13646160470,Убалацце,,
way,1124371372,ФХ Тихое,,
node,13543601951,Хадоплішча,,
way,1323588958,Частная земля,,
way,893317089,Частное хозяйство,,
way,899521323,Частные земельный владения,,
node,13646160462,Шкаль,,
node,13646160464,Язвінкі,,
node,13646160465,Яменец,,
node,13543601979,Ямнае,,
way,1415602857,земельный участок,,
