osm_type,osm_id,name,name:be,name:ru
way,1095866033,Витебское лесничество,,Витебское лесничество
way,1097463104,"ГЛХУ ""Полесский лесхоз""",,"ГЛХУ ""Полесский лесхоз"""
way,398047260,ГРС,,ГРС
way,1085656502,Горецкий РЭС,,Горецкий РЭС
way,1084456934,Городечненское лесничество,,Городечненское лесничество
way,986388403,Давид-Городокский участок Столинского РГС ПУ Пинскгаз,,Давид-Городокский участок Столинского РГС ПУ Пинскгаз
way,1097463126,Давид-Городокский участок электросетей,,Давид-Городокский участок электросетей
way,1097463088,Давид-Городокский электромеханический завод,,Давид-Городокский электромеханический завод
way,295330140,"МПУ ""Житковичимежрайгаз"",Петриковский цех",,"МПУ ""Житковичимежрайгаз"",Петриковский цех"
way,1092327493,Мядельский ремонтно-строительный участок,,Мядельский ремонтно-строительный участок
way,627844197,"ООО ""Точка опоры""",,"ООО ""Точка опоры"""
way,1105452886,ООО «Гротекс»,,ООО «Гротекс»
way,739080176,ООО «ЗападТрансЭкспедиция»,,ООО «ЗападТрансЭкспедиция»
way,233818855,Птицефабрика Оршанская,,Птицефабрика Оршанская
way,376788362,СЗАО «КварцМелПром»,,СЗАО «КварцМелПром»
way,1098200728,Свеклопункт,,Свеклопункт
way,1093114412,Скажена №90,,Скажена №90
way,598189402,"УЧТПП ""Доверие""",,"УЧТПП ""Доверие"""
way,460985281,Участок Калинковичи Гомельская дистанция гражданских сооружений,,Участок Калинковичи Гомельская дистанция гражданских сооружений
way,264289085,Фотоэлектрическая станция на Головных сооружениях РУП «Производственное объединение «Белоруснефть»,,Фотоэлектрическая станция на Головных сооружениях РУП «Производственное объединение «Белоруснефть»
way,986388439,"Хлебозавод - филиал ""Берестейский пекарь""",,"Хлебозавод - филиал ""Берестейский пекарь"""
