osm_type,osm_id,name,name:be,name:ru
way,273446926,"""Шанхай""",,"""Шанхай"""
way,169356225,3-й Микрорайон,,3-й Микрорайон
way,473884345,6-ой Микрорайон,,6-ой Микрорайон
way,389013947,IT-деревня Сосновое,,IT-деревня Сосновое
way,169356261,Агрегаты,,Агрегаты
relation,9819889,Агроусадьба «Подсолнух»,,Агроусадьба «Подсолнух»
relation,13095426,Агроусадьба Лесной Кордон,,Агроусадьба Лесной Кордон
way,838133379,База отдыха БПС-Сбербанк,,База отдыха БПС-Сбербанк
way,816905681,База отдыха Камыши,,База отдыха Камыши
way,337749652,Бардичи,,Бардичи
way,239491314,Березовский государственный профессиональный лицей строителей,,Березовский государственный профессиональный лицей строителей
way,597261861,Бубновщина,,Бубновщина
way,25097059,Ветка-Вир,,Ветка-Вир
way,38849119,Гаврилики,,Гаврилики
way,375684658,Галейки,,Галейки
way,413900325,Гнездышча,,Гнездышча
way,502722001,"Гостевой дом ""Набережный""",,"Гостевой дом ""Набережный"""
way,160962144,Гостиничный комплекс «Станьково»,,Гостиничный комплекс «Станьково»
way,238041452,Гребенево,,Гребенево
way,299677322,Гребенево,,Гребенево
way,280858076,Гуды-2,,Гуды-2
way,838131322,"ДОЛ ""Имени Гагарина""",,"ДОЛ ""Имени Гагарина"""
way,330834582,"ДОЛ ""Планета""",,"ДОЛ ""Планета"""
way,151615501,"Детский оздоровительный лагерь ""Юный коммунар""",,"Детский оздоровительный лагерь ""Юный коммунар"""
way,589564456,Детский оздоровительный лагерь «Родничок»,,Детский оздоровительный лагерь «Родничок»
way,395795159,Детский оздоровительный лагерь Свитязь,,Детский оздоровительный лагерь Свитязь
way,27406254,Детский оздоровительный лагерь Теремок,,Детский оздоровительный лагерь Теремок
way,378471017,Детский центр медицинской реабилитации «Космос»,,Детский центр медицинской реабилитации «Космос»
way,517537417,Дом в котором родился народный поэт Беларуси Максим Танк,,Дом в котором родился народный поэт Беларуси Максим Танк
way,118038501,Домики,,Домики
way,102317186,Домосед,,Домосед
way,135803047,Дражня-2,,Дражня-2
way,635386080,Дымки,,Дымки
way,772441297,"ЖК ""Левада""",,"ЖК ""Левада"""
way,461538451,"ЖК ""Липень""",,"ЖК ""Липень"""
way,238921849,"ЖК ""Самоцветы""",,"ЖК ""Самоцветы"""
way,692840737,"ЖК ""Тихая гавань у Пирса""",,"ЖК ""Тихая гавань у Пирса"""
way,963062829,ЖК «Парк Челюскинцев»,,ЖК «Парк Челюскинцев»
way,135307004,ЖК Залаты Маёнтак,,ЖК Залаты Маёнтак
way,379880269,"ЖСПК ""Ратомка-2009""",,"ЖСПК ""Ратомка-2009"""
node,6217351546,Женская Консультация,,Женская Консультация
way,552890906,"Жилой комплекс ""Набережный Квартал""",,"Жилой комплекс ""Набережный Квартал"""
way,608766498,Заболотного,,Заболотного
way,565822391,Заброшенная усадьба,,Заброшенная усадьба
way,293331112,Загородный клуб Фестивальный,,Загородный клуб Фестивальный
way,25083047,Захарполье,,Захарполье
way,517168098,Инвалида,,Инвалида
way,25147121,Каменецкая Школа-интернат,,Каменецкая Школа-интернат
way,724682832,Квартал «Центральный парк»,,Квартал «Центральный парк»
relation,11700176,"Квартал у моря ""Пирс""",,"Квартал у моря ""Пирс"""
way,594590898,Квартал-Парк,,Квартал-Парк
way,368727603,Китайский городок,,Китайский городок
way,1035980038,"Комплекс по обслуживанию делегаций в государственном природоохранном учреждении ""Нацианальный парк ""Припятский""",,"Комплекс по обслуживанию делегаций в государственном природоохранном учреждении ""Нацианальный парк ""Припятский"""
way,835859783,Комплекс по приёму делегаций,,Комплекс по приёму делегаций
way,828475880,Комфортаменты,,Комфортаменты
way,307735880,Котеджный поселок,,Котеджный поселок
way,25127978,Криводубовка,,Криводубовка
way,135321231,Криулина,,Криулина
way,135323175,Криулина,,Криулина
way,406413650,Крупки-2,,Крупки-2
way,152141987,Лагерь Гастелло (Зелёное),,Лагерь Гастелло (Зелёное)
way,332385470,Лидский колледж,,Лидский колледж
way,25133796,Лобачевка,,Лобачевка
way,702233101,Малый Нежков,,Малый Нежков
way,625505022,Мельника,,Мельника
way,274252898,Место бывшего Старчицкого Петро-Павловского монастыря,,Место бывшего Старчицкого Петро-Павловского монастыря
way,299942344,"Микрорайон ""Княжино""",,"Микрорайон ""Княжино"""
way,373773633,Микрорайон Октябрьский,,Микрорайон Октябрьский
way,1053386205,Микрорайон №21,,Микрорайон №21
way,449391244,"Микрорайон №22 ""Милавица""",,"Микрорайон №22 ""Милавица"""
way,548307434,Микрорайон №53 «Давыдовка»,,Микрорайон №53 «Давыдовка»
way,200997276,"Миниполис ""Каскад""",,"Миниполис ""Каскад"""
way,446036275,Натурная площадка киностудии «Беларусьфильм»,,Натурная площадка киностудии «Беларусьфильм»
way,506658498,Недабудаваны санаторый,,Недабудаваны санаторый
way,626218458,Нескучный сад,,Нескучный сад
way,100813248,Новая заря,,Новая заря
way,280201263,Озд.центр Солнечный,,Озд.центр Солнечный
