osm_type,osm_id,name,name:be,name:ru
way,307155458,"""Вернисаж""",,"""Вернисаж"""
way,413958523,"""Поле чудес""",,"""Поле чудес"""
way,223381208,Базар,,Базар
way,551123211,Базар,,Базар
way,340075117,Бобруйский рынок,,Бобруйский рынок
way,87463873,Грандичский рынок,,Грандичский рынок
way,136541656,Гребенёвский рынок,,Гребенёвский рынок
way,62764124,Давыдовский рынок,,Давыдовский рынок
way,276442940,Днепровский Рынок,,Днепровский Рынок
way,39089540,Зооботанический рынок,,Зооботанический рынок
way,413119948,"Зооботанический сектор ""Птичий""",,"Зооботанический сектор ""Птичий"""
way,241593201,"ИП ""Помеленок В.Л""",,"ИП ""Помеленок В.Л"""
way,40946624,"КТУП ""Рынок Октябрьский""",,"КТУП ""Рынок Октябрьский"""
way,147716608,Казимировский минирынок,,Казимировский минирынок
way,504584445,Клубничный рынок,,Клубничный рынок
way,380451792,Коопрынок,,Коопрынок
way,808917158,Краснопольский рынок,,Краснопольский рынок
way,109586731,Меховой рынок,,Меховой рынок
way,84534451,Мини-рынок Солнечный,,Мини-рынок Солнечный
way,382047710,"Минирынок ""Военный городок""",,"Минирынок ""Военный городок"""
way,99026275,"Минирынок ""Придорожный""",,"Минирынок ""Придорожный"""
way,209183229,Минирынок Восточный,,Минирынок Восточный
way,541572732,Огородик,,Огородик
way,154163760,Октябрьский мини-рынок,,Октябрьский мини-рынок
way,471597728,Полесский рынок (овощи/фрукты),,Полесский рынок (овощи/фрукты)
way,242762739,Полесский рынок (роллеты/одежда),,Полесский рынок (роллеты/одежда)
way,112882497,Привоз,,Привоз
way,209318337,Привокзальный рынок,,Привокзальный рынок
way,129401454,"Продовольственный рынок ""Юбилейный""",,"Продовольственный рынок ""Юбилейный"""
way,105116499,Продуктовый,,Продуктовый
way,315518991,"Продуктовый магазин ""Лагода""",,"Продуктовый магазин ""Лагода"""
way,39354102,Прудковский рынок,,Прудковский рынок
way,128081507,Пружанский рынок,,Пружанский рынок
way,39089535,Радиорынок,,Радиорынок
way,242478376,Родный кут,,Родный кут
way,277071777,Рост,,Рост
way,92952379,"Рынок ""Велозаводской""",,"Рынок ""Велозаводской"""
way,330735142,"Рынок ""Еловики""",,"Рынок ""Еловики"""
way,116537473,"Рынок ""Свелта""",,"Рынок ""Свелта"""
way,223145075,"Рынок ""Северный""",,"Рынок ""Северный"""
way,683142234,Рынок «Первомайский»,,Рынок «Первомайский»
way,113390249,Рынок Истпал,,Рынок Истпал
way,370537073,Рынок Матеша,,Рынок Матеша
way,128839507,Рынок Московский,,Рынок Московский
way,303918489,Рынок Привокзальный,,Рынок Привокзальный
way,970697198,Рынок Приднепровский,,Рынок Приднепровский
way,251616967,Рынок Спатканне,,Рынок Спатканне
way,464613393,Рынок Уручье 3,,Рынок Уручье 3
way,809537748,Рынок Шкловского РайПО,,Рынок Шкловского РайПО
way,149953685,Рынок волковысского РАЙПО,,Рынок волковысского РАЙПО
way,315517160,Рынок животных,,Рынок животных
way,39089531,Рынок строительных материалов,,Рынок строительных материалов
way,129401427,Рынок центральный,,Рынок центральный
way,25319707,СВ Машины,,СВ Машины
way,851926526,Сезонный рынок,,Сезонный рынок
way,629109590,Сельский рынок,,Сельский рынок
way,616746261,Сельскохозяйственный рынок,,Сельскохозяйственный рынок
way,156291026,Семь Ветров,,Семь Ветров
way,239849609,Славянский рынок,,Славянский рынок
way,792974660,Стоянка для разгрузки,,Стоянка для разгрузки
way,678192204,Строймаркет KSK,,Строймаркет KSK
way,678398192,Стройматериалы. 16 километр.,,Стройматериалы. 16 километр.
way,235205059,Строймолл,,Строймолл
way,647998041,"ТЦ ""Замок""",,"ТЦ ""Замок"""
way,245996940,"ТЦ ""Столица""",,"ТЦ ""Столица"""
way,388484461,Торговая Территория,,Торговая Территория
way,61751413,"Торговые ряды ""Магистраль""",,"Торговые ряды ""Магистраль"""
way,281879842,"Торговые ряды ""Старый Аэродром""",,"Торговые ряды ""Старый Аэродром"""
way,412421325,"Торговые ряды ""Юбилейный""",,"Торговые ряды ""Юбилейный"""
way,414785281,Торговые ряды «Сельмашевские»,,Торговые ряды «Сельмашевские»
way,319795071,Торговый рынок,,Торговый рынок
way,282966289,Торговый центр  Нарочь,,Торговый центр  Нарочь
way,448725599,Узденский центральный рынок,,Узденский центральный рынок
way,230090956,Уральский продуктовый рынок,,Уральский продуктовый рынок
way,631381962,Центральный Рынок ТУП Заготовительная база,,Центральный Рынок ТУП Заготовительная база
way,156940995,"ЧП ""Правильный подход""",,"ЧП ""Правильный подход"""
way,412751816,"ЧТУП ""Тухто""",,"ЧТУП ""Тухто"""
way,235259671,Чернгиговский,,Чернгиговский
way,104124617,Черноморский,,Черноморский
way,132072059,Чижовский рынок,,Чижовский рынок
way,125672787,авторынок Бакунинский,,авторынок Бакунинский
way,421687301,дары от зари,,дары от зари
way,388021957,мини рынок,,мини рынок
way,124169026,минирынок Марина,,минирынок Марина
way,168327019,рынок Дубровенский,,рынок Дубровенский
way,610456161,рынок Новый Лебяжий,,рынок Новый Лебяжий
way,97726531,рынок Слонимского РАЙПО,,рынок Слонимского РАЙПО
way,224083070,рынок Солнечный,,рынок Солнечный
way,456968658,торговые ряды,,торговые ряды
way,286883117,торговый комплекс «Армада»,,торговый комплекс «Армада»
