osm_type,osm_id,name,name:be,name:ru
way,823416972,Аллея победы,,Аллея победы
way,986263842,Альпийская горка,,Альпийская горка
relation,5655134,Ботанический сад ГГАУ,,Ботанический сад ГГАУ
way,1067717281,Дендрарий,,Дендрарий
way,894973491,"Деревья, фруктовые сады",,"Деревья, фруктовые сады"
way,986263839,Дивичий виноград,,Дивичий виноград
way,301044096,Дом родина,,Дом родина
way,957472220,Минидендрарий Ветеревичского лесничества,,Минидендрарий Ветеревичского лесничества
way,881953241,Огород шефа,,Огород шефа
relation,8668245,"Питомник декоративных растений УП ""Щемыслица"" БГУ",,"Питомник декоративных растений УП ""Щемыслица"" БГУ"
way,986263834,Розарий,,Розарий
way,854137708,"Розарий ""Дух Эльбы""",,"Розарий ""Дух Эльбы"""
way,619436741,Сад Надежды,,Сад Надежды
way,986263832,Сад родендронов,,Сад родендронов
way,986263838,Сад родендронов,,Сад родендронов
way,986263843,Сад сирени,,Сад сирени
way,289508480,Сквер дружбы,,Сквер дружбы
way,986263858,Участок лекарственных и пряно-ароматических растений,,Участок лекарственных и пряно-ароматических растений
way,341403442,Фруктовый сад,,Фруктовый сад
way,375363685,Фруктовый сад,,Фруктовый сад
way,542152938,Школный яблочный сад,,Школный яблочный сад
node,6190200778,небольшой парк,,небольшой парк
