osm_type,osm_id,name,name:be,name:ru
way,584462715,Авиамузей под открытым небом,Авіямузей пад адкрытым небам,Авиамузей под открытым небом
way,391177674,Агит Площадка,Агіт Пляцоўка,Агит Площадка
node,4592894894,"Агроусадьба ""Зоопарк""","Аграсядзіба ""Заапарк""","Агроусадьба ""Зоопарк"""
way,527034105,"Аллея ""Связистов""","Алея ""Связістаў""","Аллея ""Связистов"""
way,491170883,Аллея каштанов,Алея каштанаў,Аллея каштанов
way,531269167,Баличский парк,Баліцкі парк,Баличский парк
way,448932634,"Березовая роща, дубовая роща","Бярозавы гай, дубовы гай","Березовая роща, дубовая роща"
way,312541315,Ботанический парк Института Земледелия,Батанічны парк Інстытута земляробства,Ботанический парк Института Земледелия
way,380213598,Брашевское лесничество,Брашаўскае лясніцтва,Брашевское лесничество
way,100139141,Бульвар В.Мулявина,Бульвар У.Мулявіна,Бульвар В.Мулявина
way,526180349,Бульвар Грибоедова,Бульвар Грыбаедава,Бульвар Грибоедова
way,350787763,Бывший парк помещика Выковского,Былы парк памешчыка Выкоўскага,Бывший парк помещика Выковского
way,23554990,Германовский парк,Германаўскі парк,Германовский парк
way,965204044,Гидропарк,Гідрапарк,Гидропарк
way,97727799,Гордской парк,Гарадскі парк,Гордской парк
way,336079839,Городской парк отдыха,Гарадскі парк адпачынку,Городской парк отдыха
node,8989970694,Группа Землянок,Група Землянак,Группа Землянок
node,8989970788,Группа землянок,Група зямлянак,Группа землянок
way,362804513,Дендрарий,Дэндрарый,Дендрарий
way,824475149,Дендрологический парк,Дэндралагічны парк,Дендрологический парк
way,1076878131,Дендрологический парк,Дэндралагічны парк,Дендрологический парк
way,1080529339,Дендропарк,Дэндрапарк,Дендропарк
way,513664533,Дендросад,Дэндрасад,Дендросад
way,79732748,Детский ПКиО,Дзіцячы ПКіА,Детский ПКиО
way,785577205,Дещенский сквер,Дзешчанскі сквер,Дещенский сквер
node,8998351917,Запруда,Сажалка,Запруда
way,371625891,"Зона отдыха бани ""Закадычная""","Зона адпачынку лазні ""Закадычная""","Зона отдыха бани ""Закадычная"""
way,488666551,Иловский,Ілаўскі,Иловский
way,843306487,К 75-летию образования Гродненской области,Да 75-годдзя ўтварэння Гродзенскай вобласці,К 75-летию образования Гродненской области
way,981755789,Качели,Арэлі,Качели
way,767362097,"Клуб скаутов ""Кентавр""","Клуб скаўтаў ""Кентаўр""","Клуб скаутов ""Кентавр"""
way,430644216,Комплекс “Крылово”,Комплекс “Крылава”,Комплекс “Крылово”
way,288300672,Ленинский сквер,Ленінскі сквер,Ленинский сквер
node,5680854209,"Лес ""Старина""","Лес ""Старына""","Лес ""Старина"""
way,553019395,Маленький парк отдыха,Маленькі парк адпачынку,Маленький парк отдыха
way,375117475,Мемориальный комплекс памяти деревни Переходы,Мемарыяльны комплекс памяці вёскі Пераходы,Мемориальный комплекс памяти деревни Переходы
way,792375128,Мемориальный парк,Мемарыяльны парк,Мемориальный парк
way,597081789,Мемориальный парк героев,Мемарыяльны парк герояў,Мемориальный парк героев
node,6449596096,Место панского парка 1,Месца панскага парка 1,Место панского парка 1
way,327276693,Место уничтожения более 4 тысяч жителей фашистами,Месца знішчэння больш за 4 тысячы жыхароў фашыстамі,Место уничтожения более 4 тысяч жителей фашистами
way,798161400,Мини-дендрарий,Міні-дэндрарый,Мини-дендрарий
way,391621229,Молодежный парк,Маладзёжны парк,Молодежный парк
way,500322410,Молодежный парк,Маладзёжны парк,Молодежный парк
way,960675549,Озёрный парк,Азёрны парк,Озёрный парк
way,715517634,Остатки парка,Рэшткі парка,Остатки парка
way,151814935,Остров желаний,Востраў жаданняў,Остров желаний
way,465419272,Охотничий дом. Лавские землянки,Паляўнічы дом. Лаўскія зямлянкі,Охотничий дом. Лавские землянки
way,284637915,Панский парк и аллея,Панскі парк і алея,Панский парк и аллея
way,647834619,Парк 1000 лет Бресту,Парк 1000 год Брэсту,Парк 1000 лет Бресту
way,432210333,Парк 50 летия БелАЗа,Парк 50 годдзя БелАЗа,Парк 50 летия БелАЗа
relation,5731528,Парк 50-лет БССР,Парк 50-годдзя БССР,Парк 50-лет БССР
way,493704755,Парк 6-го микрорайена,Парк 6-га мікрараена,Парк 6-го микрорайена
way,583626528,Парк Днепровской Флотилии,Парк Дняпроўскай Флатыліі,Парк Днепровской Флотилии
way,1062297100,Парк Европы,Парк Еўропы,Парк Европы
way,99721928,Парк Льнокомбината,Парк Ільнокамбіната,Парк Льнокомбината
way,209195052,Парк Пионеров,Парк Піянераў,Парк Пионеров
way,1063214541,Парк Победителей,Парк Пераможцаў,Парк Победителей
way,583627400,Парк Пожарный,Парк Пажарны,Парк Пожарный
way,206105431,Парк Советский,Парк Савецкі,Парк Советский
way,215379199,Парк Суворова,Парк Суворава,Парк Суворова
way,206105432,Парк Центральный,Парк Цэнтральны,Парк Центральный
way,303369460,Парк Юбилейный,Парк Юбілейны,Парк Юбилейный
way,601580295,Парк Юндилов,Парк Юндзілаў,Парк Юндилов
way,376952317,Парк в честь 65-летия освобождения,Парк у гонар 65-годдзя вызвалення,Парк в честь 65-летия освобождения
way,807866887,Парк влюблённых,Парк закаханых,Парк влюблённых
way,675102789,Парк им. Б. Спинозы,Парк імя Б. Спінозы,Парк им. Б. Спинозы
way,75258075,Парк имени Курчатова,Парк імя Курчатава,Парк имени Курчатова
way,48183909,Парк имени Ленина,Парк імя Леніна,Парк имени Ленина
way,171005677,Парк имени Любы Гайдученок,Парк імя Любы Гайдучонак,Парк имени Любы Гайдученок
node,5739743063,Парк отдыха,Парк адпачынку,Парк отдыха
way,554115086,Парк отдыха,Парк адпачынку,Парк отдыха
way,579496318,Парк отдыха (Госпиталь),Парк адпачынку (Шпіталь),Парк отдыха (Госпиталь)
way,692759940,Парк сопротивления,Парк супраціву,Парк сопротивления
relation,3207338,Парк четырёх стихий,Парк чатырох стыхій,Парк четырёх стихий
way,40991399,Парк четырёх стихий,Парк чатырох стыхій,Парк четырёх стихий
way,237994355,Парк четырёх стихий,Парк чатырох стыхій,Парк четырёх стихий
way,237994358,Парк четырёх стихий,Парк чатырох стыхій,Парк четырёх стихий
way,559226647,Парк-Аллея,Парк-Алея,Парк-Аллея
