dep_osm_type,dep_osm_id,dependant,osm_type,osm_id,name,name:be,name:ru
relation,18108922,Інстытут Культуры,relation,7591219,Інстытут Культуры,,
relation,18108922,Інстытут Культуры,relation,7591219,Інстытут Культуры,,
relation,18108922,Інстытут Культуры,relation,7591219,Інстытут Культуры,,
relation,7734075,Малінаўка,relation,7591225,Малінаўка,,
relation,17278569,Самара,node,1928962535,Самара,,
relation,17278569,Самара,node,1928962535,Самара,,
relation,17278569,Самара,node,1928962535,Самара,,
relation,17278569,Самара,node,1928962535,Самара,,
relation,7501564,Слуцк,relation,21071154,Слуцк,,
relation,7501098,Уладава,relation,21068879,Уладава,,
relation,16654056,Уладава,relation,21068879,Уладава,,
relation,16654056,Уладава,relation,21068879,Уладава,,
relation,16654056,Уладава,relation,21068879,Уладава,,
