dep_osm_type,dep_osm_id,dependant,osm_type,osm_id,name,name:be,name:ru
relation,7698875,Alexandroupoli,,,,,
relation,2819481,E 30,,,,,
relation,2819481,E 30,,,,,
relation,2819481,E 30,,,,,
relation,2819481,E 30,,,,,
relation,2819481,E 30,,,,,
relation,2819481,E 30,,,,,
relation,2819481,E 30,,,,,
relation,2819481,E 30,,,,,
relation,2819481,E 30,,,,,
relation,2819481,E 30,,,,,
relation,2819481,E 30,,,,,
relation,2819481,E 30,,,,,
relation,2819481,E 30,,,,,
relation,2819481,E 30,,,,,
relation,2819481,E 30,,,,,
relation,2819481,E 30,,,,,
relation,2819481,E 30,,,,,
relation,2819481,E 30,,,,,
relation,2819481,E 30,,,,,
relation,2819481,E 30,,,,,
relation,2819481,E 30,,,,,
relation,2819481,E 30,,,,,
relation,2819481,E 30,,,,,
relation,2819481,E 30,,,,,
relation,2819481,E 30,,,,,
relation,10152384,"Gdańsk, dworzec autobusowy",,,,,
relation,17787035,Granica Państwa (Kuźnica Białostocka),,,,,
relation,17816384,Granica Państwa (Kuźnica Białostocka),,,,,
relation,17775387,Granica Państwa (Siemianówka),,,,,
relation,17837974,Granica Państwa (Siemianówka),,,,,
relation,17771373,Granica Państwa (Terespol),,,,,
relation,17816767,Granica Państwa (Terespol),,,,,
relation,17816885,Granica Państwa (Terespol),,,,,
relation,17816886,Granica Państwa (Terespol),,,,,
relation,17776503,Granica Pańśtwa (Czeremcha),,,,,
relation,9667907,Hrodna,,,,,
relation,9667907,Hrodna,,,,,
relation,9667907,Hrodna,,,,,
relation,9667907,Hrodna,,,,,
relation,1636400,Minsk,,,,,
relation,1636400,Minsk,,,,,
relation,9581031,"Minsk, Busbahnhof Passazhirsky",,,,,
relation,9581031,"Minsk, Busbahnhof Passazhirsky",,,,,
relation,9581031,"Minsk, Busbahnhof Passazhirsky",,,,,
relation,9581031,"Minsk, Busbahnhof Passazhirsky",,,,,
relation,9581031,"Minsk, Busbahnhof Passazhirsky",,,,,
relation,9581037,"Minsk, Busbahnhof Passazhirsky",,,,,
relation,9581030,München ZOB,,,,,
relation,9581030,München ZOB,,,,,
relation,9581030,München ZOB,,,,,
relation,9581030,München ZOB,,,,,
relation,9581030,München ZOB,,,,,
relation,9579175,"Praha, ÚAN Florenc",,,,,
relation,2369189,Siemianówka,,,,,
relation,13366053,Sokólka,,,,,
relation,13366053,Sokólka,,,,,
relation,13366053,Sokólka,,,,,
relation,13366053,Sokólka,,,,,
relation,13366053,Sokólka,,,,,
relation,13366053,Sokólka,,,,,
relation,13366053,Sokólka,,,,,
relation,13366053,Sokólka,,,,,
way,273624796,Vilniaus - 330,,,,,
way,273624796,Vilniaus - 330,,,,,
relation,10990466,Warszawa Wileńska,,,,,
relation,10990466,Warszawa Wileńska,,,,,
relation,10990466,Warszawa Wileńska,,,,,
relation,10150970,"Warszawa, lotnisko Modlin",,,,,
way,1155103862,Waterpump,,,,,
way,1155106269,Waterpump 2,,,,,
relation,18106433,"АС ""Аўтазаводская""",,,,,
relation,18106433,"АС ""Аўтазаводская""",,,,,
relation,18106433,"АС ""Аўтазаводская""",,,,,
relation,2072095,АС «Автозаводская»,,,,,
relation,7805597,АС «Берёза»,,,,,
relation,7811791,АС «Берёза»,,,,,
relation,7821555,АС «Берёза»,,,,,
relation,7544655,АС Автозаводская,,,,,
relation,7547818,АС Автозаводская,,,,,
relation,7547818,АС Автозаводская,,,,,
relation,7547818,АС Автозаводская,,,,,
relation,7568577,АС Автозаводская,,,,,
relation,7568577,АС Автозаводская,,,,,
relation,7568577,АС Автозаводская,,,,,
relation,8058561,АС Берёза,,,,,
relation,8084755,АС Юго-Западная,,,,,
way,288591999,Аварыйная - 110,,,,,
relation,7930174,Автовокзал №2 Санкт-Петербург,,,,,
relation,7930174,Автовокзал №2 Санкт-Петербург,,,,,
relation,7930174,Автовокзал №2 Санкт-Петербург,,,,,
relation,7930174,Автовокзал №2 Санкт-Петербург,,,,,
relation,7930174,Автовокзал №2 Санкт-Петербург,,,,,
relation,7930174,Автовокзал №2 Санкт-Петербург,,,,,
relation,7930174,Автовокзал №2 Санкт-Петербург,,,,,
relation,7930174,Автовокзал №2 Санкт-Петербург,,,,,
relation,7930174,Автовокзал №2 Санкт-Петербург,,,,,
relation,7930174,Автовокзал №2 Санкт-Петербург,,,,,
relation,7930174,Автовокзал №2 Санкт-Петербург,,,,,
relation,17203606,Адлер,,,,,
relation,17203606,Адлер,,,,,
relation,17203606,Адлер,,,,,
relation,17203606,Адлер,,,,,
relation,17203606,Адлер,,,,,
relation,17203606,Адлер,,,,,
relation,17206178,Адлер,,,,,
relation,17206178,Адлер,,,,,
relation,17206178,Адлер,,,,,
relation,17206178,Адлер,,,,,
relation,17206178,Адлер,,,,,
relation,17307845,Анапа,,,,,
relation,17307845,Анапа,,,,,
relation,17307845,Анапа,,,,,
relation,17307845,Анапа,,,,,
relation,17307845,Анапа,,,,,
