dep_osm_type,dep_osm_id,dependant,osm_type,osm_id,name,name:be,name:ru
relation,14877983,Автовокзал,node,7001356918,Автовокзал,Аўтавакзал,Автовокзал
relation,8017674,ДС Курасовщина,node,3031266699,ДС Курасовщина,ДС Курасоўшчына,ДС Курасовщина
relation,8017675,ДС Лошица-2,node,767183978,ДС Лошица-2,ДС Лошыца-2,ДС Лошица-2
relation,14877819,"Дворец спорта ""Виктория""",node,9009610868,"Дворец спорта ""Виктория""","Палац спорту ""Вікторыя""","Дворец спорта ""Виктория"""
relation,14877813,Цветотрон,node,5199961613,Цветотрон,Цветатрон,Цветотрон
relation,14877924,Цветотрон,node,5199961613,Цветотрон,Цветатрон,Цветотрон
relation,4163818,площадь Мицкевича,relation,8167457,площадь Мицкевича,плошча Міцкевіча,площадь Мицкевича
relation,4163819,площадь Мицкевича,relation,8167457,площадь Мицкевича,плошча Міцкевіча,площадь Мицкевича
relation,4165926,площадь Мицкевича,relation,8167457,площадь Мицкевича,плошча Міцкевіча,площадь Мицкевича
relation,11901562,площадь Мицкевича,relation,8167457,площадь Мицкевича,плошча Міцкевіча,площадь Мицкевича
