osm_type,osm_id,name,name:be,name:ru
node,767264781,"""Дрэва""",,
node,1553989756,"""Оперный""",,
node,1202268237,"""Спадчына""",,
way,127094869,Вечнасць,,
node,4987846019,"Водозабор ""Каменный цветок""",,
node,7553194550,Плавающий фонтан,,
node,5171376322,"Поля фильтрации А/к ""Ждановичи""",,
node,6467039304,Светящийся фонтан,,
node,1677682091,У кинотеатра,,
node,6629036785,Фантан,,
node,10050561317,Фонтан,,
node,4465734691,"Фонтан ""Беларусь""",,
way,415068481,Фонтан Зураба Церетели,,
node,6473512460,Фонтан Мишки с бочонком меда (разрушен),,
node,4238890791,Фонтан на Набережной,,
node,7796590384,Фонтан тысячелетия,,
node,5575014229,Фонтан-гейзер искусственный,,
node,491591289,Чаша со змеёй,,
way,261878795,гном,,
