osm_type,osm_id,name,name:be,name:ru
node,4106712097,Бабуля с iPad,Графіці «Бабуля з Apple»,Граффити «Бабуля с Apple»
node,8006648154,Бетховен,графіці «Бетховен»,граффити «Бетховен»
node,9733161846,ГОСТ жизни,Графіці «ДАСТ жыцця»,Граффити «ГОСТ жизни»
node,4985641771,Графіці «2Pac»,Графіці «Тупак Шакур»,Граффити «Тупак Шакур»
node,3487315710,Графіці «Bob Marley»,Графіці «Боб Марлі»,Граффити «Боб Марли»
node,4062350008,Джими Хендрикс,графіці «Джымі Хендрыкс»,граффити «Джими Хендрикс»
node,9949229224,ЗОЖ,Графіці,Граффити
node,4211434606,Замена ценностей,Графіці «Замена каштоўнасцяў»,Граффити «Замена ценностей»
node,6634998085,Золотая рыбка,Графіці «Залатая рыбка»,Граффити «Золотая рыбка»
node,6822319676,Котики и Домики,Графіці «Коцікі-Домікі»,Граффити «Котики-Домики»
node,1795742659,Люди-деревья,"Графіці ""Людзі-дрэвы""","Граффити ""Люди-деревья"""
node,6746025910,"Мурал ""3 Amigos""","Мурал ""3 сябра""","Мурал ""3 друга"""
node,3708528685,Царь ненастоящий,Графіці «Цар несапраўдны»,Граффити «Царь ненастоящий»
node,4235747046,Человек-дерево,"Графіці ""Чалавек-дрэва""","Граффити ""Человек-дерево"""
node,4949415549,Я ♥ Ліду,Я люблю Ліду,Я люблю Лиду
