osm_type,osm_id,name,name:be,name:ru
node,7801461940, «Мой Минск»,,«Мой Минск»
node,9711019017,«Азбука белорусского орнамента»,,Мурал
node,9695356217,«Белый котик в шарфике»,,Мурал «Котик в шарфике»
node,9661577817,«Велосипедист»,,Мурал «Велосипедист»
node,9573769517,«Город»,,Мурал «Город»
node,9573769617,«Город»,,Мурал «Город»
node,9677144117,«Город»,,Мурал «Город»
node,9710950517,«Девушка с котиками»,,Мурал «Девушка с котиками»
node,9710963117,«Капля жизни»,,Мурал «Капля жизни»
node,9573121417,«Метропоезд»,,Мурал «Метропоезд»
node,9573121517,«Метропоезд»,,Мурал «Метропоезд»
node,9695356417,«Мингаз»,,Мурал «Мингаз»
node,9727525917,«Пейзаж»,,Мурал «Пейзаж»
node,9727526017,«Пейзаж»,,Мурал «Пейзаж»
node,9727526018,«Пейзаж»,,Мурал «Пейзаж»
node,9727533217,«Пейзаж»,,Мурал «Пейзаж»
node,9761606734,«Птица»,,Мурал
node,9711468817,«Сад и огород»,,Мурал «Сад и огород»
node,4762421627,"Граффити ""Демонтаж кактуса""",,Демонтаж кактуса
node,4985641771,Граффити «2Pac»,,Граффити «Тупак Шакур»
node,4211434606,Граффити «Замена ценностей»,,граффити «Замена ценностей»
node,9816362354,Женщина с книгой и снопом,,Скульптура
node,9816362357,"Женщина с книгой, опирающаяся на изящную балясину",,Скульптура
node,9816362355,Мужчина с книгой и снопом,,Скульптура
node,9816362356,"Мужчина с книгой, опирающийся на стальную конструкцию с двутаврами",,Скульптура
node,6678605985,Мурал «Асмалоўка»,,Мурал
node,9695356317,Мурал «Мингаз»,,«Мингаз»
node,9816362353,Олиемпиец-факелоносец,,Скульптура
node,4456414589,Скульптура «Молодая семья»,,Скульптура
node,4795623589,Скульптура женщины,,Памятник Симону Боливару
node,9572678117,Узор,,Мурал узор
node,4935295024,"Фонарь - Тройка, ""Брествнештранс""",,"Фонарь - конница, ""Брествнештранс"""
