osm_type,osm_id,name,name:be,name:ru
way,25321939,"""Автодром скоростной""",,"""Автодром скоростной"""
way,907070697,"""Замок""",,"""Замок"""
way,691089658,"""Скамейка-16""",,"""Скамейка-16"""
node,2545075379,Адреналин,,Адреналин
node,6502716669,Американские горки,,Американские горки
way,359865549,Бабушкин дворик,,Бабушкин дворик
node,6502716667,Батут,,Батут
way,322356199,Батуты,,Батуты
node,5653507319,Брама усадьбы XIX века,,Брама усадьбы XIX века
node,2544997672,Вальс,,Вальс
node,6502716680,Вальс,,Вальс
way,322356178,Вальс,,Вальс
way,359879667,"Верблюды, зубры, яки",,"Верблюды, зубры, яки"
node,2545075381,Вертолет,,Вертолет
node,2544997673,Веселые горки,,Веселые горки
way,321204663,Весёлые горки,,Весёлые горки
way,322134201,Весёлый поезд,,Весёлый поезд
node,2545075384,Вихрь,,Вихрь
way,822977553,Вихрь,,Вихрь
node,5777719993,Водоплавающие птицы,,Водоплавающие птицы
node,6502716677,Волшебное озеро,,Волшебное озеро
node,7835204335,Вольер для передержки благородного оленя (6.11 Га),,Вольер для передержки благородного оленя (6.11 Га)
way,437211605,Городище периода раннего железного века (6 в до н.э.-7 век н.э.),,Городище периода раннего железного века (6 в до н.э.-7 век н.э.)
node,8307403793,Господский двор Ратинцы,,Господский двор Ратинцы
node,7559992690,Гравитация,,Гравитация
way,881917827,Дагестанские туры,,Дагестанские туры
way,881917830,Еноты-полоскуны,,Еноты-полоскуны
node,6502716679,Жирафы,,Жирафы
way,883728469,Императорские орлы,,Императорские орлы
node,6423403679,Индейская река,,Индейская река
node,6333120909,Кабан,,Кабан
node,4818823142,Каменная куница,,Каменная куница
way,883749432,Камерунские козы,,Камерунские козы
way,617770618,Камикадзе 1,,Камикадзе 1
way,617770619,Камикадзе 2,,Камикадзе 2
way,322356205,Карусель,,Карусель
way,367099374,"Карусель ""Колесо обозрения""",,"Карусель ""Колесо обозрения"""
way,297726223,"Карусель ""Космос""",,"Карусель ""Космос"""
way,367099371,"Карусель ""Орбита""",,"Карусель ""Орбита"""
way,367099372,"Карусель ""Ромашка""",,"Карусель ""Ромашка"""
way,367099373,"Карусель ""Сюрприз""",,"Карусель ""Сюрприз"""
way,617770603,Катрин,,Катрин
node,2545075396,Качели малые,,Качели малые
way,769137102,"Квест-комната ""Стродж""",,"Квест-комната ""Стродж"""
node,7411317368,"Квесты ""Амнезия"" и ""Сон""",,"Квесты ""Амнезия"" и ""Сон"""
way,617770612,Кобра,,Кобра
node,2545075399,Колокольчик,,Колокольчик
node,2544997677,Конвой,,Конвой
node,5088606307,"Конно-спортивный клуб ""Мустанг""",,"Конно-спортивный клуб ""Мустанг"""
node,4907082824,Кукуполис,,Кукуполис
node,4944426823,Курган -  захоронение 9-11веков,,Курган -  захоронение 9-11веков
node,9244544193,Лев,,Лев
way,338328979,Ленивая река,,Ленивая река
node,2545075408,Летающая тарелка,,Летающая тарелка
way,822977552,Летающая тарелка,,Летающая тарелка
way,715169121,Лошади,,Лошади
node,2545075410,Лошадки,,Лошадки
node,6502716678,Лошадки,,Лошадки
node,6423403680,Мадагаскар,,Мадагаскар
node,6333070718,Марал,,Марал
node,6423403678,Мотор шоу,,Мотор шоу
node,6333070709,Муфло́н,,Муфло́н
node,2545075413,Отважный капитан,,Отважный капитан
node,4446017187,ПДОТ №42,,ПДОТ №42
node,2545075415,Паровозик Рио-Гранд,,Паровозик Рио-Гранд
node,2545075418,Паровозик с тремя вагонами,,Паровозик с тремя вагонами
node,2545075404,Пиратский корабль,,Пиратский корабль
way,883749433,Полярные совы,,Полярные совы
way,881917833,Птичник с декоративными видами птиц,,Птичник с декоративными видами птиц
way,881917832,Пятнистые олени,,Пятнистые олени
node,6502716676,Рельсовый паровозик «Зоопарк»,,Рельсовый паровозик «Зоопарк»
node,5508091102,Ручная дрезина,,Ручная дрезина
way,881917829,Рыси и волк,,Рыси и волк
node,4818807562,Рысь,,Рысь
node,2544997674,Саванна,,Саванна
way,881917826,Северные олени,,Северные олени
way,617770620,Семейная горка,,Семейная горка
way,715169116,Страусы,,Страусы
way,279831220,Теплолюбивые млекопитающие,,Теплолюбивые млекопитающие
node,9244544194,Тигр,,Тигр
way,1009372418,Тигры,,Тигры
way,883749434,Ушастые филины,,Ушастые филины
node,6333019312,Фазан,,Фазан
node,6507928085,Формула-1,,Формула-1
node,2544997676,Чашечки,,Чашечки
node,2544997688,Электромобили,,Электромобили
node,5777719970,Эму,,Эму
node,6333070715,Як,,Як
way,321221975,аквадром,,аквадром
