osm_type,osm_id,name,name:be,name:ru
way,382062778,Амбар-голубятня усадьбы Вендорфов (руины 1811),,Амбар-голубятня усадьбы Вендорфов (руины 1811)
way,688038099,Бровар руины 19в.,,Бровар руины 19в.
way,837634634,Бывшее здание бани,,Бывшее здание бани
way,724848344,Махновская мельница,,Махновская мельница
way,1068971715,Польская пограничная застава (руины),,Польская пограничная застава (руины)
way,1102286330,Польская пограничная застава (фундамент),,Польская пограничная застава (фундамент)
way,1057258176,Пропускной пункт,,Пропускной пункт
way,1097300187,Руины Бровара нач.20в.,,Руины Бровара нач.20в.
way,692428385,Руины водяной мельницы 19в.,,Руины водяной мельницы 19в.
way,737386042,Руины мельницы,,Руины мельницы
way,288325608,Усадебный дом Ваньковичей 1909г,,Усадебный дом Ваньковичей 1909г
way,372504404,Церковь нач.20в.,,Церковь нач.20в.
way,370590144,Церковь св. Николая 19в.,,Церковь св. Николая 19в.
way,372187195,Шкелевская водяная мельница,,Шкелевская водяная мельница
