osm_type,osm_id,name,name:be,name:ru
node,306064208,"""Воин""",,
node,2095267723,"""Ковавшим ядерный щит Родины"". Полигоны ядерных испытаний  1961-1990",,
node,10783643563,Белорусским морякам,,
node,10801946306,Братская могила,,
node,10797363194,Братская могила  69 неизвестных воинов погибших в Бресте в годы ВОВ 1941-1944гг,,
node,10797363196,Братская могила 1821 воинов защитникоы Отечества погибших в 1915-1920 годы в боях под Брестом,,
node,10797363160,Братская могила пограничников 10 заставы17 КПО и  Героя СССР ст.лт Гармаева Г.А,,
node,10797363199,"В честь военнослужащих 35-й пехотной дивизии Войска Польского, которая дислоцировалась в Бресте",,
node,10797363193,В честь заложения аллеи,,
relation,15640032,Гарадзішча,,
node,10797363162,Генерал-майора Александра Вахрушева (1903 – 1945),,
node,10797363163,Героя Советского Союза гвардии полковника Алексея Скрылева (1913 – 1946),,
node,10797363192,Инженеръ Генерал майоръ Духонинъ К. Л.,,
node,10797363191,Коменданта крепости Генерал-Лейтенанта И.А. Качалова,,
node,10802558507,Лапицы хутор,,
node,10783581740,Мемориальный знак расстрелянным,,
node,10797363148,О заложении сквера,,
node,10797363157,О проведении Ядерного испытания на Тоцком полигоне,,
node,10797363159,Памяти армянских солдат павших при защите Бресткой крепости  в ВОВ,,
node,10797459975,Памятник маршаллу И.Х. Баграмяну,,
node,10796867642,"Памятник поэме ""Тарас на Парнасе""",,
node,10797363195,"Памятник экипажу Б-25, сбитого под деревней Непли в июле 1944",,
node,3273859870,Памяці салдат Войска Польскага,,
node,1123435046,Погибшим в ВОВ,,
node,10797363158,Рязанцам защитникам Брестской крепостии участикам боев на территории Беларуси во время ВОВ,,
node,10801340250,Уладзімір Юсцінавіч Мірончык,,
