osm_type,osm_id,name,name:be,name:ru
node,11422567269,А.К.Серов,А.К.Сераў,
node,11422532569,Асаналиев Д.,Асаналіеў Д.,
node,11533765569,"Застройка ул. Крылова, XIX в.","Забудова вул. Крылова, XIX стагоддзе",
node,7449534891,И.П.Казинец,І.П.Казінец,
node,11422553169,Н.И.Пирагов,М.І.Пірагоў,
node,11065635347,Панскія могілкі Хацінскіх (Haciski),Панскія могілкі Хацінскіх,
node,9802648133,Паэтка  Сафія Тшешковска (з Манькоўскіх) (псеўданім Adam M-ski),Паэтка Сафія Тшешковска (з Манькоўскіх) (псеўданім Adam M-ski),
node,11221223421,Руіны сядзібы Петрозоліных (Petrozolin),Руіны сядзібы Петрозоліных,
node,11533764569,С.Н.Крылов,С.Н.Крылоў,
node,11533755269,Сквер имени Маяковского,Сквер імя Маякоўскага,
node,11533768369,Товарищество витебских водопроводов,Таварыства віцебскіх водаправодаў,
