osm_type,osm_id,name,name:be,name:ru
node,841512310,Ахвярам Брэсцкага гета,Fхвярам Брэсцкага гета,Жертвам Брестского гетто
node,11734926120,Гарадзішче Банцараўшчына (культура штрыхаванай керамікі) (4 ст. да н. э. - 8 ст. н. э.),Гарадзішча Банцараўшчына (культура штрыхаванай керамікі) (4 ст. да н. э. - 8 ст. н. э.),Городище Банцеровщина (культура штриховой керамики) (4 в. до н. э. - 8 в. н. э.)
way,378151033,Городище,Курган,Курган
node,2145470612,Жертвам Чернобыля,Ахвярам Чарнобыля,Жертвам чернобыля
node,1394735407,Загінуўшым габрэям (на месцы сiнагогi),Загінуўшым габрэям,Погибшим евреям
way,91916811,Капліца Святой Ганны (St. Anna chapel),Капліца Святой Ганны,Часовня Святой Анны
node,1344316291,Першаасьветнікам зямлі беларускай,Першаасветнікам зямлі беларускай,Первопросветителям земли белорусской
node,2795760454,Помнік воінам-інтэрнацыяналістам,Алея воінаў-інтэрнацыяналістаў,Аллея воинов-интернационалистов
node,3223251261,Софии Слуцкой,Сафія Слуцкая,София Слуцкая
way,377842474,Форт №1b Гродзенскай крэпасці,"ГФ-II, Апорны Пункт літара ""В"" (ням. №1b) Гродзенскай крэпасці","ГФ-II, Опорный Пункт литера ""В"" (нем. №1b) Гродненской крепости"
node,11035972756,Ярковская кладбище,Яркоўская,Ярковская
