osm_type,osm_id,name,name:be,name:ru
node,8196667217,"ДАП ""Niech Zyje Polska""",,"ДОТ ""Niech Zyje Polska"""
node,3646635933,"ДАП ""Twierdza Nam Bedzie Kazny Prog""",,"ДОТ ""Twierdza Nam Bedzie Kazny Prog"""
node,11059398105,Мемориальный камень ПМВ (1915,,Немецкий мемориальный камень ПМВ (20.8.1915)
node,11058350905,"Место усадьбы (гл. двор) ""Тупольщизна"" (XIX в., сохр. руины часовни-усыпальницы)",,"Место усадьбы (гл. двор) ""Тупольщизна"" (XIX в., сохр. руины часовни-усыпальн.)"
node,11058817606,Остатки 3 часовен-надмогильев,,Руины 3-х камен. часовен-надмогильев (XIXв.)
node,11058151105,Памятник немецким солдатам 1-ой мировой войны,,"Памятник немецким солдатам 1-ой мировой войны (1915-18 гг., кладбище утрачено)"
node,11058157406,Паромная переправа,,Строения старой паромной переправы (разруш. 1915-18 гг.)
node,11058481605,"Пилон брамы (XIXв., въезд в гл. двор усадьбы",,"Пилон брамы (XIXв., въезд в гл. двор усадьбы ""Лостая"")"
node,11059332505,"Усадьба гл. двор ""Понары",,"Усадьба гл. двор ""Понары"": руины ледовни (XIXв., усадьба и ост. постр. - не сохр.)"
node,11058421506,"Фундамент усадьбы ""Лостаи",,"Фундамент усадьбы ""Лостая"" (ок. XIXв.)"
