osm_type,osm_id,name,name:be,name:ru
node,4754865624,Борцы,Змагары,Борцы
node,12250223266,Землякам погибшим в 1941-1945,"Землякам, якія загінулі ў 1941-1945",Землякам погибшим в 1941-1945
node,5315449585,Коленопреклонённый воин,Воінскае пахаванне 4041,Коленопреклонённый воин
node,1517528062,Курганный могильник,Курганны могільнік,Курганный могильник
node,11950566545,Курганный могильник,Курганны могільнік,Курганный могильник
node,5985610746,Место захоронения 211 солдат погибших в госпитале в 1943г.,Воінскае пахаванне,Место захоронения 211 солдат погибших в госпитале в 1943г.
node,9626258617,Памятная доска Е. Островская,Памятная дошка А. Астроўская,Памятная доска Е. Островская
way,380722442,Руины Синагоги Главной (19в.),Сінагога (19ст.),Руины Синагоги Главной (19в.)
way,495739023,"Скульптура ""Воин и партизан""","Скульптура ""Воін і партызан""","Скульптура ""Воин и партизан"""
node,11708645592,Суворов,Сувораў,Суворов
node,11738967339,Тадеуш Рейтан,Мемарыяльны камень Т. Рэйтану,Тадеуш Рейтан
way,69137820,Хит! Экспресс,Хіт! Экспрэс,Хит! Экспресс
way,1272594352,Часовня в честь Георгия Победоносца и святителя Николая Чудотворца,Капліца ў гонар Георгія Пабеданосца ды свяціцеля Мікалая Цудатворца,Часовня в честь Георгия Победоносца и святителя Николая Чудотворца
