osm_type,osm_id,name,name:be,name:ru
node,6565565653,"""Носитель даров""",,"""Носитель даров"""
node,3773176464,АПК 012,,АПК 012
node,3773176466,АПК №010,,АПК №010
node,3773240988,АПК №269,,АПК №269
node,4199619483,Аллея памяти в честь Глазко А Н.,,Аллея памяти в честь Глазко А Н.
node,7483952307,Иоселевичу И.В.,,Иоселевичу И.В.
node,7055302117,Карпюк В. Н.,,Карпюк В. Н.
node,9573007017,Крест «Сим побеждай»,,Крест «Сим побеждай»
node,9759304376,Лобзов В.К.,,Лобзов В.К.
node,9846239418,"Мемориал воинов и партизан, покоящихся в безымянных могилах",,"Мемориал воинов и партизан, покоящихся в безымянных могилах"
node,10311206863,Место приземления первого самолета в партизанской зоне,,Место приземления первого самолета в партизанской зоне
node,6416004600,Место усадьбы Седлиско,,Место усадьбы Седлиско
node,9792857017,Памятная доска В.М. Жур,,Памятная доска В.М. Жур
node,9671614417,Памятная доска Г.А. Евдокимову и Б.А. Евдокимову,,Памятная доска Г.А. Евдокимову и Б.А. Евдокимову
node,9776883417,Памятная доска Г.И. Катяш,,Памятная доска Г.И. Катяш
node,9589447617,Памятная доска Е. Островская,,Памятная доска Е. Островская
node,9626258617,Памятная доска Е. Островская,,Памятная доска Е. Островская
node,9707322617,Памятная доска Е.А. Занкевичу,,Памятная доска Е.А. Занкевичу
node,9605931317,Памятная доска Е.К. Тихоцкому,,Памятная доска Е.К. Тихоцкому
node,9739591848,Памятная доска Е.П. Ямны,,Памятная доска Е.П. Ямны
node,9739830217,Памятная доска Н.Г. Зикуненко,,Памятная доска Н.Г. Зикуненко
node,9724680217,Памятная доска Н.Н. Шчахатихину,,Памятная доска Н.Н. Шчахатихину
node,9711246017,Памятная доска С.Г. Скоропонову,,Памятная доска С.Г. Скоропонову
node,9709633318,Памятная доска Т.В. Крысько,,Памятная доска Т.В. Крысько
node,5271869222,"Памятник ""Чемоданное Настроение""",,"Памятник ""Чемоданное Настроение"""
node,9595105017,Памятник Г.П. Мягковой,,Памятник Г.П. Мягковой
node,7877489872,Партизан Скоморох П.В.,,Партизан Скоморох П.В.
node,9060452994,"Партизанской бригаде ""Октябрь""",,"Партизанской бригаде ""Октябрь"""
node,7062712421,ТЕ3,,ТЕ3
node,2924558579,УВ,,УВ
node,2924558580,УВ,,УВ
node,2924558581,УВ,,УВ
node,10311206862,Ф.И.Ковалёв,,Ф.И.Ковалёв
node,7370318344,Чёрные пруды,,Чёрные пруды
