osm_type,osm_id,name,name:be,name:ru
node,9864025717,Бобр,,
node,4346610531,Водохранилище,,
node,9863736317,Карта,,
node,9995923104,Касцяневічы,,
node,9863813617,Кислица обыкновенная,,
node,9863813517,"Лещина обыкновенная, Орешник",,
node,9863842117,"Лунник оживающий, Многоножка обыкновенная",,
node,9863830917,Можжевельник обыкновенный,,
node,9863830718,О приметах ядовитых грибов,,
node,9864025417,Озеро Глубелька,,
node,9863859218,Озеро-сердце,,
node,9863831017,Опасные грибы,,
node,9831539684,Паспорт объекта,,
node,9997843078,Расписание движения поездов,,
node,10004806259,Сiпуха,,
node,9870414559,"СТ ""Криница-Кривополье""",,
node,9864025917,Сосна «Старый монах»,,
node,9955883787,Схема движения спец. травнспорта,,
