osm_type,osm_id,name,name:be,name:ru
node,9919726151,<--Иванцевичи(75)/Пинск(14)-->,<--Іванцэвічы(75)/Пінск(14)->,
node,9839866014,Вагонное депо,Вагоннае дэпо,
node,9724546613,Граница ж/д пути необщего пользования,Мяжа чыгуначнага шляху неагульнага карыстання,
node,9939531799,Место высадки пассажиров,Месца высадкі пасажыраў,
node,9951325075,Место посадки пассажиров,Месца пасадкі пасажыраў,
node,9951325021,Милиция информирует,Міліцыя інфармуе,
node,9952587445,Пинск ^,Пінск ^,
node,5151541854,Рэспубліка Беларусь,Рэсрубліка Бпларусь,
node,9865759751,Стоянка запрещена,Стаянка забаронена,
node,9939531893,Хождение по путях запрещено,Хаджэнне па шляхах забаронена,
node,9939531894,Хождение по путях запрещено,Хаджэнне па шляхах забаронена,
node,7553317484,Экотропа Дорога жизни,Экатрапа Дарога жыцця,
