osm_type,osm_id,name,name:be,name:ru
node,4437573692,"Заказник ""Ельня""","Запаведнік ""Ельня""","Заповедник ""Ельня"""
node,8778872938,Ольха черная,Чорная алешына,Черная ольха
node,6767293142,Памежная паласа - Border line,Памежная паласа,Пограничная полоса
node,275446570,Пограничная зона - Border zone,Памежная зона,Пограничная зона
node,275455357,Пограничная зона - Border zone,Памежная зона,Пограничная зона
node,320852851,Пограничная зона - Border zone,Памежная зона,Пограничная зона
node,414691839,Пограничная зона - Border zone,Памежная зона,Пограничная зона
node,542584704,Пограничная зона - Border zone,Памежная зона,Пограничная зона
node,553716075,Пограничная зона - Border zone,Памежная зона,Пограничная зона
node,573262184,Пограничная зона - Border zone,Памежная зона,Пограничная зона
node,632349940,Пограничная зона - Border zone,Памежная зона,Пограничная зона
node,778541008,Пограничная зона - Border zone,Памежная зона,Пограничная зона
node,778541306,Пограничная зона - Border zone,Памежная зона,Пограничная зона
node,1029589253,Пограничная зона - Border zone,Памежная зона,Пограничная зона
node,1030644497,Пограничная зона - Border zone,Памежная зона,Пограничная зона
node,1030670301,Пограничная зона - Border zone,Памежная зона,Пограничная зона
node,1032693081,Пограничная зона - Border zone,Памежная зона,Пограничная зона
node,1032737680,Пограничная зона - Border zone,Памежная зона,Пограничная зона
node,1032737821,Пограничная зона - Border zone,Памежная зона,Пограничная зона
node,1044616570,Пограничная зона - Border zone,Памежная зона,Пограничная зона
node,1130740808,Пограничная зона - Border zone,Памежная зона,Пограничная зона
node,1130804445,Пограничная зона - Border zone,Памежная зона,Пограничная зона
node,1132766528,Пограничная зона - Border zone,Памежная зона,Пограничная зона
node,1136496589,Пограничная зона - Border zone,Памежная зона,Пограничная зона
node,1139779556,Пограничная зона - Border zone,Памежная зона,Пограничная зона
node,1141950555,Пограничная зона - Border zone,Памежная зона,Пограничная зона
node,1192538713,Пограничная зона - Border zone,Памежная зона,Пограничная зона
node,1215824220,Пограничная зона - Border zone,Памежная зона,Пограничная зона
node,1217374033,Пограничная зона - Border zone,Памежная зона,Пограничная зона
node,1349642191,Пограничная зона - Border zone,Памежная зона,Пограничная зона
node,1393299162,Пограничная зона - Border zone,Памежная зона,Пограничная зона
node,1413158058,Пограничная зона - Border zone,Памежная зона,Пограничная зона
node,1478830273,Пограничная зона - Border zone,Памежная зона,Пограничная зона
node,1479981935,Пограничная зона - Border zone,Памежная зона,Пограничная зона
node,1646592919,Пограничная зона - Border zone,Памежная зона,Пограничная зона
node,1647568769,Пограничная зона - Border zone,Памежная зона,Пограничная зона
node,1680414333,Пограничная зона - Border zone,Памежная зона,Пограничная зона
node,2099235793,Пограничная зона - Border zone,Памежная зона,Пограничная зона
node,2149300647,Пограничная зона - Border zone,Памежная зона,Пограничная зона
node,2158292223,Пограничная зона - Border zone,Памежная зона,Пограничная зона
node,2531731439,Пограничная зона - Border zone,Памежная зона,Пограничная зона
node,2600660034,Пограничная зона - Border zone,Памежная зона,Пограничная зона
node,2608419434,Пограничная зона - Border zone,Памежная зона,Пограничная зона
node,2908247844,Пограничная зона - Border zone,Памежная зона,Пограничная зона
node,2953302710,Пограничная зона - Border zone,Памежная зона,Пограничная зона
node,3155969099,Пограничная зона - Border zone,Памежная зона,Пограничная зона
node,3155969515,Пограничная зона - Border zone,Памежная зона,Пограничная зона
node,3175604927,Пограничная зона - Border zone,Памежная зона,Пограничная зона
node,3178621630,Пограничная зона - Border zone,Памежная зона,Пограничная зона
node,3257776990,Пограничная зона - Border zone,Памежная зона,Пограничная зона
node,3316926266,Пограничная зона - Border zone,Памежная зона,Пограничная зона
node,3334864779,Пограничная зона - Border zone,Памежная зона,Пограничная зона
node,3417694847,Пограничная зона - Border zone,Памежная зона,Пограничная зона
