osm_type,osm_id,name,name:be,name:ru
node,3842449699,18 км,,18 км
node,9672057821,Агитационные плакаты,,Агитационные плакаты
node,7879114701,Антропогенная сукцессия,,Антропогенная сукцессия
node,7553640750,Атмосфера и изменение климата,,Атмосфера и изменение климата
node,7553640751,Атмосфера и изменение климата,,Атмосфера и изменение климата
node,9381169132,Афиша,,Афиша
node,9381169133,Афиша,,Афиша
node,5367489100,"База отдыха ""Дружба""",,"База отдыха ""Дружба"""
node,5861875154,Беларусьнефть,,Беларусьнефть
node,7553640771,Бембекс носатый,,Бембекс носатый
node,7553640758,Биоразнообразие,,Биоразнообразие
node,7553640768,Большой грицук,,Большой грицук
node,8911748402,Босоногая тропа,,Босоногая тропа
node,5638019171,Велосипедные маршруты,,Велосипедные маршруты
node,7626964995,Велотропа Дорога жизни,,Велотропа Дорога жизни
way,145257905,Визит-центр заказника «Ельня»,,Визит-центр заказника «Ельня»
node,7553640767,Вода как часть творения,,Вода как часть творения
node,7730526743,Вход в пограничную полосу №5,,Вход в пограничную полосу №5
node,6968451928,Въезд в погранзону,,Въезд в погранзону
node,7783433832,Генплан Витебска,,Генплан Витебска
node,5169592627,"Городская площадка для сдачи практическо эзамена на катерию ""А""",,"Городская площадка для сдачи практическо эзамена на катерию ""А"""
node,7614979546,Деревня Стойлы,,Деревня Стойлы
node,5754989742,"Дла Вас, родители!",,"Дла Вас, родители!"
node,9356207652,Доска почета Ленинского района,,Доска почета Ленинского района
node,9576308510,Друйская узкоколейка,,Друйская узкоколейка
node,8842025783,Друя туристическая,,Друя туристическая
node,6359827361,Жемчужненский обход,,Жемчужненский обход
node,7879114700,Живой и хозяйственный лес,,Живой и хозяйственный лес
node,9130502174,Залотое кольцо Ивьевщины,,Залотое кольцо Ивьевщины
node,9130502138,"Замок XIV в., Лида",,"Замок XIV в., Лида"
node,9130502166,Золотое кольцо Ивьевщины,,Золотое кольцо Ивьевщины
node,6637065267,Зона древесно-кустарниковой растительности и юного натуралиста,,Зона древесно-кустарниковой растительности и юного натуралиста
node,5795788941,Зона лекарственных растений,,Зона лекарственных растений
node,6637037870,Зона обитания птиц,,Зона обитания птиц
node,6637058543,Зона обитателей водоёма и растительности береговой линии,,Зона обитателей водоёма и растительности береговой линии
node,4982441739,Инфо-стенд,,Инфо-стенд
node,5590804147,"Информационный стенд СТ ""Дубрава-2002""",,"Информационный стенд СТ ""Дубрава-2002"""
node,2620202432,"Инфотурцентр ""Минск""",,"Инфотурцентр ""Минск"""
node,3921545532,Инфоцентр,,Инфоцентр
way,391059853,Инфоцентр,,Инфоцентр
node,9724739717,Исторические названия улицы,,Исторические названия улицы
node,7600951050,Исторический атлас зароновского края,,Исторический атлас зароновского края
node,7553640774,Как жить экологически дружественно,,Как жить экологически дружественно
node,7847252423,Как мы можем помочь птицам,,Как мы можем помочь птицам
node,7553317480,Как помочь птицам,,Как помочь птицам
node,7690709613,Карта СТ «Пальминка»,,Карта СТ «Пальминка»
node,7879114707,Консорция дуба,,Консорция дуба
node,3711240710,Крата-схема охотничьих угодий,,Крата-схема охотничьих угодий
node,9686567985,Купание в неустановленных местах запрещено!,,Купание в неустановленных местах запрещено!
node,9686567986,Купание в неустановленных местах запрещено!,,Купание в неустановленных местах запрещено!
node,9686567987,Купание в неустановленных местах запрещено!,,Купание в неустановленных местах запрещено!
node,9686567988,Купание в неустановленных местах запрещено!,,Купание в неустановленных местах запрещено!
node,9686567989,Купание в неустановленных местах запрещено!,,Купание в неустановленных местах запрещено!
node,9686567991,Купание в неустановленных местах запрещено!,,Купание в неустановленных местах запрещено!
node,9686567992,Купание в неустановленных местах запрещено!,,Купание в неустановленных местах запрещено!
node,9686612785,Купание в неустановленных местах запрещено!,,Купание в неустановленных местах запрещено!
node,5792751566,Лукойл №5,,Лукойл №5
node,7553604969,Малый бугай,,Малый бугай
node,6959760239,Мемориал «Плацдарм Новики»,,Мемориал «Плацдарм Новики»
node,306063755,"Мемориальный комплекс ""Остров Зыслов""",,"Мемориальный комплекс ""Остров Зыслов"""
node,9686567995,Место спуска водного транспора,,Место спуска водного транспора
node,9686612784,Место спуска водного транспора,,Место спуска водного транспора
way,355284580,Метеорологическая площадка,,Метеорологическая площадка
node,5562052612,Мини-дендропарк,,Мини-дендропарк
node,7804754324,Мосты царского тракта,,Мосты царского тракта
node,7553640773,Муравьиный лев,,Муравьиный лев
node,5946097772,На плацдарме Новики,,На плацдарме Новики
node,9066604506,Навінская крыніца,,Навінская крыніца
node,8623167927,О мемориале,,О мемориале
node,7553317483,Обитатели водоёма,,Обитатели водоёма
node,7296629285,Обитатели закустаренных полян,,Обитатели закустаренных полян
node,5169592626,"Областная площадка для сдачи практическо эзамена на катерию ""А""",,"Областная площадка для сдачи практическо эзамена на катерию ""А"""
node,3889024382,Озовая гряда,,Озовая гряда
node,6959760256,"Опорный пункт «Высота 167,0»",,"Опорный пункт «Высота 167,0»"
node,6959760255,Опорный пункт «Центр д. Новики»,,Опорный пункт «Центр д. Новики»
node,6959760238,Опорный пункт «Школа д. Новики»,,Опорный пункт «Школа д. Новики»
node,6359827362,Охота только с егерем,,Охота только с егерем
node,7553604970,Пагонич,,Пагонич
node,2011125288,Памятник погибшимм в годы Великой Отечественной войны,,Памятник погибшимм в годы Великой Отечественной войны
node,5404255679,Партизанский аэродром (указатель),,Партизанский аэродром (указатель)
node,7847252426,Певчие птицы - обитатели кустарниковых зарослей,,Певчие птицы - обитатели кустарниковых зарослей
