osm_type,osm_id,name,name:be,name:ru
node,11136546937,Алея памятных событий Пинского государственного высшего банковского колледжа национального банка Республике Беларуси,,
node,11128465749,Воин,,
node,11112541231,Дешин Василий Павлович,,
node,11112533428,Зайцев И.С.,,
way,1202288391,"Мемориальный комплекс ""Партизанам Полесья""",,
node,11148825871,Невядомы абаронца зямлі нашай (заг. у 1941),,
node,11118894470,"Памятник архитектуры ""Поселище""",,
node,8954829213,Памятник партизанам,,
node,11149898446,Ю.В. Смирнов,,
node,11112515634,воинам-землякам,,
node,11148855889,"воинам-землякам, погибшим во времена Великой Отечественной войны.",,
