osm_type,osm_id,name,name:be,name:ru
node,5302009625,Василий Жудро,Васіль Жудро,Памятная доска В.С. Журдо
node,5336571873,Викентий Скрыганов,Вікенцій Скрыганаў,Памятная доска В.В. Скрыганову
node,5302428332,Заир Азгур,Заір Азгур,Памятная доска З.И. Азгуру
way,1089473779,Калона ў гонар Канстытуцыі Рэчы Паспалiтай 3 мая 1791 г.,Калона ў гонар Канстытуцыі РП 3 мая 1791 г.,Колонна в честь Конституции 3 мая 1791 г.
node,281570444,Ленин,Ленін,Ленину
node,9081084321,Ленин В. И.,Помнік Леніну,Памятник Ленину
node,2526582777,Ленину,Ленін,Ленин
node,5100170772,Ленину,Леніну,Ленину (в переходе метро)
node,4417578212,Леся Украинка,Леся Украінка,Памятная доска Лесе Украинке
node,4715346333,Памятная доска В.П. Четверивову,Віталь Чацверыкоў,Виталий Четвериков
node,8012192712,Памятная доска Василю Быкову,Васіль Быкаў,Василий Быков
node,5980952303,Памятная доска Н.Г. Дивакову,Мікалай Гаўрылавіч Дзівакоў,Николай Гаврилович Диваков
node,8047394494,Памятная доска Олегу Молчан,Алег Молчан,Алег Молчан
node,3127462074,Памятник Сергею Мироновичу Кирову,С. Кіраў,С.Киров
node,2863122316,Три танцующих женщины,"Тры жанчыны, якія танцуюць",Три танцующие женщины
node,306062522,Шевченко Т.,Тарас Шаўчэнка,Тарас Шевченко
