osm_type,osm_id,name,name:be,name:ru
node,11708817773,12 Землякам погибшим в ВОВ,,12 Землякам погибшим в ВОВ
node,7198477309,21 земляку погибшим в ВОВ,,21 земляку погибшим в ВОВ
node,11728496529,25 землякам погибшим в ВОВ,,25 землякам погибшим в ВОВ
node,12328297194,30 мая 1943г. фашисты сожгли 98 мирных жителей д.Сосновая,,30 мая 1943г. фашисты сожгли 98 мирных жителей д.Сосновая
node,11488053203,42 землякам погибшим в ВОВ,,42 землякам погибшим в ВОВ
node,306069136,92 Землякам погибшим в ВОВ,,92 Землякам погибшим в ВОВ
node,2095267723,«Ковавшим ядерный щит Родины». Полигоны ядерных испытаний 1961-1990,,«Ковавшим ядерный щит Родины». Полигоны ядерных испытаний 1961-1990
node,6565565653,«Носитель даров»,,«Носитель даров»
node,9658995705,Адаму Хмары,,Адаму Хмары
node,12745344400,Артиллеристам 99 тяжело-гаубичной артбригады,,Артиллеристам 99 тяжело-гаубичной артбригады
node,8085304326,"Боброву И.И., Толочко К.Д. и 91 Землякам погибшим в ВОВ",,"Боброву И.И., Толочко К.Д. и 91 Землякам погибшим в ВОВ"
node,3741278758,Братская могила,,Братская могила
node,11638988140,Братская могила 1197 воинов павших в 1944г.,,Братская могила 1197 воинов павших в 1944г.
node,3851522104,Братская могила 12 мирных жителей убитых фашистами на Рождество (25.12.1942г.),,Братская могила 12 мирных жителей убитых фашистами на Рождество (25.12.1942г.)
node,11838321289,Братская могила 15 неизвестных солдат,,Братская могила 15 неизвестных солдат
node,11453843600,Братская могила 3-х неизвестных солдат погибших в ВОВ,,Братская могила 3-х неизвестных солдат погибших в ВОВ
node,2238188199,Братская могила 415 солдат,,Братская могила 415 солдат
node,12327391482,Братская могила 547 солдат,,Братская могила 547 солдат
node,1396026979,Братская могила 65 воинов,,Братская могила 65 воинов
node,11863204854,Братская могила воинам павшим 11.1943,,Братская могила воинам павшим 11.1943
node,12290666892,Братская могила мирных советских граждан,,Братская могила мирных советских граждан
node,11741968790,"В честь воинов 75 стрелковой дивизии, народных мстителей партизанских бригад, воинов 70 армии первого Белорусского фронта освободивших район",,"В честь воинов 75 стрелковой дивизии, народных мстителей партизанских бригад, воинов 70 армии первого Белорусского фронта освободивших район"
way,235431801,Воин с лавровым венком,,Воин с лавровым венком
node,11061425718,Воин со знаменем,,Воин со знаменем
node,11838799437,Воин со знаменем,,Воин со знаменем
node,9172035592,Воинам-пограничникам,,Воинам-пограничникам
node,12307014378,Две заповеди любви,,Две заповеди любви
node,11793332187,Дожинки 2003,,Дожинки 2003
node,12754762073,Древо жизни,,Древо жизни
node,9557539591,Женщина в печали,,Женщина в печали
node,11687195258,Женщина с венком и щитом,,Женщина с венком и щитом
node,12804619172,Жертвам немецко-фашистской оккупации,,Жертвам немецко-фашистской оккупации
node,6443812555,Землякам погибшим в ВОВ,,Землякам погибшим в ВОВ
node,12328312718,Землякам погибшим в ВОВ,,Землякам погибшим в ВОВ
node,12052991949,Иван Дементьевич Черский (1845-1892),,Иван Дементьевич Черский (1845-1892)
node,7483952307,Иоселевичу И.В.,,Иоселевичу И.В.
node,2788683639,Камень благодарности Марии де Кастелян,,Камень благодарности Марии де Кастелян
node,11793332192,Камень в знак благодарности А.Г.Лукашенко,,Камень в знак благодарности А.Г.Лукашенко
node,11863204853,Капитану Гуляеву А.П. (-23.10.1943),,Капитану Гуляеву А.П. (-23.10.1943)
node,7055302117,Карпюк В. Н.,,Карпюк В. Н.
node,11582625493,Коленопреклоненный воин с автоматом,,Коленопреклоненный воин с автоматом
node,5922781726,Коленопреклонённый воин,,Коленопреклонённый воин
node,9573007017,Крест «Сим побеждай»,,Крест «Сим побеждай»
node,3800673522,Крест с ликом Христа,,Крест с ликом Христа
node,9759304376,Лобзов В.К.,,Лобзов В.К.
node,12304955702,Место боя 20.7.1942г.,,Место боя 20.7.1942г.
node,11739442328,Место расстрела 4 апреля 1944г. мирных жителей,,Место расстрела 4 апреля 1944г. мирных жителей
node,3733181796,Место расстрела фашистами 410 жителей деревни 1.06.1942г.,,Место расстрела фашистами 410 жителей деревни 1.06.1942г.
node,12085787013,Место расстрела фашистами более 400 мирных жителей 6.12.1941г.,,Место расстрела фашистами более 400 мирных жителей 6.12.1941г.
node,8617995279,Место танкового сражения,,Место танкового сражения
node,11463768842,Могила неизвестного солдата павшего в 1944г.,,Могила неизвестного солдата павшего в 1944г.
node,11075290379,Немытов Владимир Григорьевич,,Немытов Владимир Григорьевич
node,12779870950,"Односельчанам, погибшим в 1941-1945",,"Односельчанам, погибшим в 1941-1945"
node,11867139043,Озёрин Алексей Николаевич,,Озёрин Алексей Николаевич
node,11753678601,Памяти погибших мотоциклистов,,Памяти погибших мотоциклистов
node,9792857017,Памятная доска В.М. Жур,,Памятная доска В.М. Жур
node,9776883417,Памятная доска Г.И. Катяш,,Памятная доска Г.И. Катяш
node,11190931086,Памятная доска Е.А. Занкевичу,,Памятная доска Е.А. Занкевичу
node,9605931317,Памятная доска Е.К. Тихоцкому,,Памятная доска Е.К. Тихоцкому
node,9739591848,Памятная доска Е.П. Ямны,,Памятная доска Е.П. Ямны
node,9739830217,Памятная доска Н.Г. Зикуненко,,Памятная доска Н.Г. Зикуненко
node,9724680217,Памятная доска Н.Н. Шчахатихину,,Памятная доска Н.Н. Шчахатихину
node,9709633318,Памятная доска Т.В. Крысько,,Памятная доска Т.В. Крысько
node,11118894470,Памятник архитектуры «Поселище»,,Памятник архитектуры «Поселище»
node,12290684160,Памятник советским активистам и мирным гражданам,,Памятник советским активистам и мирным гражданам
node,9658995706,"Партизанам бригады ""Штурмовая"" спасших 274 детей",,"Партизанам бригады ""Штурмовая"" спасших 274 детей"
node,9060452994,Партизанской бригаде «Октябрь»,,Партизанской бригаде «Октябрь»
node,12064441617,Пушкин А.С.,,Пушкин А.С.
node,11075290378,Рабочие вступили в бой,,Рабочие вступили в бой
node,11020525188,Рабочим фабрики «Двина»,,Рабочим фабрики «Двина»
node,11863204852,Сержанту Батурину А.Ф. (1918-10.1943),,Сержанту Батурину А.Ф. (1918-10.1943)
node,11739442355,Скорбящая,,Скорбящая
node,12304711461,Сожжённым деревням Копыльщины,,Сожжённым деревням Копыльщины
node,3354768502,"Солдат, партизан и скорбящая матерь",,"Солдат, партизан и скорбящая матерь"
node,11838799431,Чемодурову В.И.,,Чемодурову В.И.
node,7370318344,Чёрные пруды,,Чёрные пруды
node,11638797914,Штап подпольной организации 1941-1943гг.,,Штап подпольной организации 1941-1943гг.
node,11216089108,Шукурову Дильмурату,,Шукурову Дильмурату
