osm_type,osm_id,name,name:be,name:ru
way,768326350,55 Кардон,,55 Кардон
way,737306355,"База отдыха ""Мечта""",,"База отдыха ""Мечта"""
way,351686162,База отдыха «Дружные ребята»,,База отдыха «Дружные ребята»
way,510510595,База отдыха «Лукоморье»,,База отдыха «Лукоморье»
way,603137746,База отдыха «Мечта»,,База отдыха «Мечта»
way,816905681,База отдыха Камыши,,База отдыха Камыши
way,1015323740,База отдыха Кувшинка,,База отдыха Кувшинка
way,825192889,База отдыха Электрон,,База отдыха Электрон
node,2766728034,"Белое озеро, БелЖД",,"Белое озеро, БелЖД"
way,235150583,"Белое озеро, БелЖД",,"Белое озеро, БелЖД"
way,671785965,Белые луга,,Белые луга
way,970892808,"Бывшая база отдыха ""Ион""",,"Бывшая база отдыха ""Ион"""
way,967794831,Гомельский областной детский центр медицинской реабилитации «Верасок»,,Гомельский областной детский центр медицинской реабилитации «Верасок»
way,381949073,"ДОЛ ""Дубровочка""",,"ДОЛ ""Дубровочка"""
way,275080651,"ДОЛ ""Лесной огонёк""",,"ДОЛ ""Лесной огонёк"""
way,298466309,"ДОЛ ""Чайка""",,"ДОЛ ""Чайка"""
way,1047385976,"ДОЛ ""Чайка""",,"ДОЛ ""Чайка"""
way,676485968,ДОЛ «Борок»,,ДОЛ «Борок»
way,676485971,ДОЛ «Теремок»,,ДОЛ «Теремок»
way,612038891,ДОЛ им. Марата Казея,,ДОЛ им. Марата Казея
node,306066586,Детский Оздоровительный Лагерь 'Дружба',,Детский Оздоровительный Лагерь 'Дружба'
node,3154411123,Детский Оздоровительный Лагерь 'Мечта',,Детский Оздоровительный Лагерь 'Мечта'
node,4944734421,"Детский оздоровительный лагерь ""Горизонт""",,"Детский оздоровительный лагерь ""Горизонт"""
way,1017573561,"Детский оздоровительный лагерь ""Колосок""",,"Детский оздоровительный лагерь ""Колосок"""
relation,8433447,Детский оздоровительный лагерь «Лесной»,,Детский оздоровительный лагерь «Лесной»
way,589564456,Детский оздоровительный лагерь «Родничок»,,Детский оздоровительный лагерь «Родничок»
way,118037478,Детский оздоровительный лагерь им. Гастелло,,Детский оздоровительный лагерь им. Гастелло
way,367780451,"Детский санаторий ""Солнышко""",,"Детский санаторий ""Солнышко"""
way,829267806,"Дом отдыха ""Белый берег""",,"Дом отдыха ""Белый берег"""
way,61978442,"Дом престарелых и инвалидов ""Доброта""",,"Дом престарелых и инвалидов ""Доброта"""
way,788870330,Зорька юбилейная,,Зорька юбилейная
way,404876913,Лагерь Бобрёнок,,Лагерь Бобрёнок
way,683898798,Налибокская пуща,,Налибокская пуща
way,237463768,Нёман-72,,Нёман-72
way,694760820,Озд.лагерь Дубок,,Озд.лагерь Дубок
way,656954054,"Оздоровительный лагерь ""Зарница""",,"Оздоровительный лагерь ""Зарница"""
way,963271449,"Оздоровительный лагерь ""Зенитчик""",,"Оздоровительный лагерь ""Зенитчик"""
way,1052320902,"Оздоровительный лагерь ""Строитель""",,"Оздоровительный лагерь ""Строитель"""
way,502144300,Оздоровительный лагерь «Юбилейный»,,Оздоровительный лагерь «Юбилейный»
way,544210234,Озёрская государственная санаторная школа-интернат,,Озёрская государственная санаторная школа-интернат
node,2766722602,Рассвет-Любань,,Рассвет-Любань
way,485166093,Республиканский интернат ветеранов войны и труда,,Республиканский интернат ветеранов войны и труда
way,955891722,СОК «Бригантина»,,СОК «Бригантина»
node,364952387,"Санаторий ""Буг""",,"Санаторий ""Буг"""
way,893654151,"Санаторий ""Надзея""",,"Санаторий ""Надзея"""
way,474368228,"Санаторий ""Сервисный центр Веста""",,"Санаторий ""Сервисный центр Веста"""
way,955887708,"Санаторий ""Сосновый бор""",,"Санаторий ""Сосновый бор"""
way,95061933,Санаторий РУП «Гомельское отделение Белорусской железной дороги»,,Санаторий РУП «Гомельское отделение Белорусской железной дороги»
way,169589358,Санаторий Радон,,Санаторий Радон
node,8841826881,Санаторий Солнышко,,Санаторий Солнышко
way,43111392,Санаторий им. В.И. Ленина,,Санаторий им. В.И. Ленина
way,69295006,Санаторий им. К.П. Орловского,,Санаторий им. К.П. Орловского
node,8985641184,"Стрелковый клуб "" Дубрава """,,"Стрелковый клуб "" Дубрава """
way,970891814,"Стрелковый клуб "" Дубрава """,,"Стрелковый клуб "" Дубрава """
way,865995179,Тихий край,,Тихий край
way,396980380,"Турбаза ""Неман""",,"Турбаза ""Неман"""
way,331531048,"Туристический комплекс ""Белое""",,"Туристический комплекс ""Белое"""
node,5228734680,Усадьба Славичи,,Усадьба Славичи
way,620288478,"ФОЦ ""Колодница""",,"ФОЦ ""Колодница"""
way,655560583,"Центр медицинской реабилитации ""Сосновый Бор""",,"Центр медицинской реабилитации ""Сосновый Бор"""
way,824659129,"Шале ""Гринвуд""",,"Шале ""Гринвуд"""
