osm_type,osm_id,name,name:be,name:ru
node,5653507319,Брама усадьбы XIX века,,Брама усадьбы XIX века
way,447597834,Бывший льнозавод,,Бывший льнозавод
way,244314212,ДЗОТ,,ДЗОТ
way,454568517,Дом прислуги,,Дом прислуги
relation,5618209,Каре служебных корпусов 19 век,,Каре служебных корпусов 19 век
way,157063350,Мельница начала XX в,,Мельница начала XX в
way,965436982,Место храма,,Место храма
way,846772685,Минская въездная брама 1835 г.,,Минская въездная брама 1835 г.
way,788005265,Монастырь Бернандинцев,,Монастырь Бернандинцев
way,508960306,Опорный пункт № 8 Гродненской крепости,,Опорный пункт № 8 Гродненской крепости
way,288854634,Остатки передовых земляных позиций времен Первой мировой войны,,Остатки передовых земляных позиций времен Первой мировой войны
way,376969487,Пороховой погреб 3 форта,,Пороховой погреб 3 форта
way,807965391,Развалины замка Хлюдинских,,Развалины замка Хлюдинских
way,350117096,Руины Свято-Успенской церкви,,Руины Свято-Успенской церкви
way,1097274876,Руины церкви,,Руины церкви
node,5022388241,Форт 1 Гродненской крепости,,Форт 1 Гродненской крепости
node,462315250,Центр управления полётами,,Центр управления полётами
way,374119226,Церковь Спасо-Преображенская (18в.),,Церковь Спасо-Преображенская (18в.)
way,233909603,Школа (руины),,Школа (руины)
way,428569076,Шуховская башня,,Шуховская башня
