osm_type,osm_id,name,name:be,name:ru
node,10694405007,Бабочки,Матылі,
node,10694422405,Бабочки,Матылі,
node,10694587606,Город,Горад,
node,10694592607,Город,Горад,
node,10694592608,Город,Горад,
node,10694593705,Город,Горад,
node,10694461606,Ленинский район,Ленінскі раён,
node,10694374205,"Малявки, 1557","Маляўкі, 1557",
node,10694329906,Наутилус,Наўтылус,
node,10694333005,Орёл,Арол,
node,10694404410,Пейзаж с рекой,Пейзаж з ракой,
node,10694404411,Пейзаж с рекой,Пейзаж з ракой,
node,10694404509,Пейзаж с рекой,Пейзаж з ракой,
node,10694409207,Пейзаж с рекой,Пейзаж з ракой,
node,10694422406,Пейзаж с рекой,Пейзаж з ракой,
node,10694424205,Пейзаж с рекой,Пейзаж з ракой,
node,10694376305,Ротонда,Ратонда,
node,10694378305,Скамейка «Коммунарка» с медведями,"Лаўка ""Камунарка"" з мядзведзямі",
node,10694382806,Шахматная доска,Шахматная дошка,
