osm_type,osm_id,name,name:be,name:ru
node,11013048205,"Бывшее здание польских судебных служащих (1921г., переделан)","Былы будынак польскіх судовых служачых (1921г., перароблены)","Бывш. здание польск. судебн. служащих (1924г., частич. перестр.)"
node,4985641771,Графіці «2Pac»,Графіці «Тупак Шакур»,Граффити «Тупак Шакур»
node,3487315710,Графіці «Bob Marley»,Графіці «Боб Марлі»,Граффити «Боб Марли»
node,11008353705,Дот 1-ой мировой войны,Бліндаж 1-ай сусветнай вайны,Офицер. блиндаж (предполож. 1-ой мировой)
node,11017573508,Жд станция нач. XXв. (кирпич. стиль),Чыгуначная станцыя пач. XX ст. (цагляны стыль),"Жд станция (1905 г., кирпич. стиль/рациоисторизм)"
node,11030389706,Здание польского периода (предполож. 1930г.),Будынак польскага/міжваеннага перыяду (меркавана 1930г.),"Здание польск./межвоенн. периода (ок. 1930г., так же блоч. облиц. жд моста)"
node,11037794305,Лев,Кахецінскі леў,Кахетинский лев
node,6746025910,"Мурал ""3 Amigos""","Мурал ""3 сябра""","Мурал ""3 друга"""
node,11030313005,Остатки старой местечковой застройки (XIXв.),Рэшткі старой местачковай забудовы (XIX ст.),Остатки старой местечковой застройки (XIX-нач.XX вв.)
node,11031976905,"Примечательная промыш. архитектура (1980-90-ых гг., весь проспект)","Характэрная прамысловая архітэктура (1980-90-х гг., увесь праспект)","Примечательн. индустр. архитектура (1986-93-е гг., излет сов. модернизма/функционализма, весь просп.)"
node,10989872705,Старый военный ДОТ,Стары ваенны ДАП,Старый военный блиндаж
way,421545964,"Хутар ""Sabalinka""","Хутар ""САБАЛІНКА""","Хутар ""Сабалинка"""
node,4949415549,Я ♥ Ліду,Я люблю Ліду,Я люблю Лиду
