osm_type,osm_id,name,name:be,name:ru
node,10994538005,(Предположительно) остатки усадьбы,,Остатки Александровской усадьбы XIXв. (предположительно)
node,10997322105,Аптека (,,"Бывш. здание аптеки (2-я половина XIXв., переделана)"
node,10997390805,Брама,,Брама (XIXв.)
node,10994269915,Брама,,Брама и ограда (конец XIXв.)
node,10994313905,Брама (XVIIIв.),,Брама и ограда (XVIIIв.)
node,10997310914,Бывшая больница (нач.XXв.,,Бывш. здание больницы (нач. XXв. кирпич. стиль)
node,10989742805,Бывшое здание тюрьмы (,,Бывшее здание тюрьмы (конец XIX—начало XX вв.)
node,10997336306,Водяная мельница (,,"Водяная дерев. мельница (кон.XIXв., переделана)"
node,10994313810,Кирпичный дом (,,Рядовая историческая постройка (кон.XIX-нач.XXвв.)
node,10990180105,Кладбище солдат 1-й мировой войны: брама (,,"Кладбище солдат ПМВ: брама (1915-18 гг., могилы утрачены)"
node,10994423805,Место усадебно-паркового комплекса Коцеллов (XVIII-XIX,,"Место усадебно-паркового комплекса Коцеллов (XVIII-XIXвв., в большинстве утрачено)"
way,273270441,Но,,Новогрудок
node,10992480405,Остатки паркового комплекса Саковичей (,,Остатки паркового ансамбля Саковичей (XVIIIв.)
node,10997346706,Рядовая историческая застройка (,,Рядовая историческая застройка (кон.XIX- нач.XXвв.)
node,10991905705,Синаг. двор:,,Синаг. двор: хедер (XIX-нач.XXвв.)
node,10991863905,Синагогальный двор: миква (XIX-нач.XXвв.),,Синаг. двор: миква/кагальная баня (XIX-нач.XXвв.)
node,10989726305,Староство,,Староство (Польская застройка 1920—30-е гг.)
node,10990197405,"Усадьба Шафнагелей: хозпостройки (XIXв., руины)",,Усадьба Шафнагелей: хозпостройки (XIXв.)
node,10989990205,Усадьба: водяная мельница (руины XIX-XX вв.),,"Усадьба: водяная мельница (руины, XIX-нач.XX вв.)"
node,10989990206,Усадьба: хозпостройка,,Усадьба: хозпостройка (XIX-начало XX вв.)
