osm_type,osm_id,name,name:be,name:ru
way,1205913051,"Агроусадьба ""Каталея""","Аграсядзіба ""Каталея""","Агроусадьба ""Каталея"""
node,11193066740,"Агроусадьба ""У Борисыча""","Аграсядзіба ""У Барысыча""","Агроусадьба ""У Борисыча"""
node,11193066781,"Агроусадьба ""У Кузьмича""","Аграсядзіба ""У Кузьміча""","Агроусадьба ""У Кузьмича"""
way,1073553651,Агроусадьба Франопольское городище,Аграсядзіба Франапольскае гарадзішча,Агроусадьба Франопольское городище
node,5395781022,Актёрская студия,Акцёрская студыя,Актёрская студия
node,9054228125,Актёрская студия,Акцёрская студыя,Актёрская студия
node,10596902207,База отдыха «Чигиринка»,База адпачынку «Чыгірынка”,База отдыха «Чигиринка»
node,7414919056,Белагроздравница,Белаграўздраўніца,Белагроздравница
way,892458865,Беловежская сказка,Белавежская казка,Беловежская сказка
way,1211066177,Беловежское поместье,Белавежскі маёнтак,Беловежское поместье
node,10763753641,Беседка над озером,Альтанка над возерам,Беседка над озером
way,1207818974,Богданова усадьба,Багданава сядзіба,Богданова усадьба
way,293811425,"Гостиница ""Туров +""","Гасцініца ""Тураў +""","Гостиница ""Туров +"""
node,11228478338,Гродненская область,Гродзенская вобласць,Гродненская область
node,11231033737,Гродно,Гродна,Гродно
node,11007136706,Дом Сырицких,Дом Сырыцкіх,Дом Сырицких
node,10998430138,Дом на воде,Дом на вадзе,Дом на воде
node,10859754005,Дом у озера Болдук,Дом каля возера Балдук,Дом у озера Болдук
node,10859757605,Дом у озера Болдук,Дом каля возера Балдук,Дом у озера Болдук
node,11248373194,Дорогу обслуживает,Дарогу абслугоўвае,Дорогу обслуживает
node,10755390907,Жемчужина,Жамчужына,Жемчужина
node,11323183629,Жемчужный,Жамчужны,Жемчужный
way,173998950,"ЗАО ""Осотно""","ЗАТ ""Асотна""","ЗАО ""Осотно"""
node,7813650185,Загородный комплекс «ВИЛИЯ ПАРК»,Загарадны комплекс «Вілія парк»,Загородный комплекс «ВИЛИЯ ПАРК»
node,11228847338,Каменный якорь,Каменны якар,Каменный якорь
way,691274387,Колдовское озеро,Вядзьмарскае возера,Колдовское озеро
node,10591456006,Купальская ночь,Купальская ноч,Купальская ночь
way,901795787,Лаванда хутор,Лаванда хутар,Лаванда хутор
way,892458881,Лесная хата,Лясная хата,Лесная хата
way,215403823,Лихолапичи,Ліхалапічы,Лихолапичи
way,1183972667,Мишкина,Мішкіна,Мишкина
node,2766736619,Молодёжная,Маладзёжная,Молодёжная
way,683898798,Налибокская пуща,Налібоцкая пушча,Налибокская пуща
way,463859684,Николаев двор,Мікалаеў двор,Николаев двор
node,11297428807,Пинский район,Пінскі раён,Пинский район
node,10914808905,Припятский плёс,Прыпяцкі плёс,Припятский плёс
way,593167147,Пущанская,Пушчанская,Пущанская
way,593764347,Пущанский Хуторок,Пушчанскі Хутарок,Пущанский Хуторок
way,593167127,Пущанский дворик,Пушчанскі дворык,Пущанский дворик
way,445453019,Пущанский уголок,Пушчанскі куток,Пущанский уголок
way,345910303,Росинка,Расінка,Росинка
node,10300967636,Садоводческое товарищество Красное Урочище-2. План Земельных Участков,Садоўніцкае таварыства Краснае Урочышча-2. План Зямельных Участкаў,Садоводческое товарищество Красное Урочище-2. План Земельных Участков
node,10300967642,Садоводческое товарищество Красное Урочище-2. План Земельных Участков,Садоўніцкае таварыства Краснае Урочышча-2. План Зямельных Участкаў,Садоводческое товарищество Красное Урочище-2. План Земельных Участков
way,169589358,"Санаторий ""Радон""","Санаторый ""Радон""","Санаторий ""Радон"""
node,2766722627,Санаторий Сосновый бор,Санаторый Сасновы бор,Санаторий Сосновый бор
node,10764668885,Славия,Славія,Славия
node,2766722622,Случь,Случ,Случь
way,927370049,Солнечный домик,Сонечны домік,Солнечный домик
node,10573464676,Сосны-гиганты Новобоярские,Сосны-гіганты Новабаярскія,Сосны-гиганты Новобоярские
node,11327631129,Сохраним историю,Захаваем гісторыю,Сохраним историю
node,11343655170,"Стадион ""Динамо""","Стадыён ""Дынама""","Стадион ""Динамо"""
node,5395781021,Танцзал,Танцзала,Танцзал
node,3949251940,Титан,Тытан,Титан
node,11343285593,Туристические маршруты,Турыстычныя маршруты,Туристические маршруты
node,11149633117,У Знахаря,У Знахара,У Знахаря
way,1189939176,У ручья,Ля ручая,У ручья
node,10921123800,"Усадьба ""Ля Блакитных азёр""","Сядзіба ""Ля Блакітных азёр""","Усадьба ""Ля Блакитных азёр"""
node,11199632498,"Усадьба ""Магия леса""","Сядзіба ""Магія лесу""","Усадьба ""Магия леса"""
node,10840178636,"Усадьба «Озерная, 4»","Сядзіба «Азёрная, 4»","Усадьба «Озерная, 4»"
way,697606716,Усадьба Вишня,Сядзіба Вішня,Усадьба Вишня
way,492206638,Усадьба Гранд Мишлен,Сядзіба Гранд Мішлен,Усадьба Гранд Мишлен
way,206249660,Усадьба на Пехотном,Сядзіба на Пяхотным,Усадьба на Пехотном
way,838998143,Утрина,Утрына,Утрина
way,1210545581,Фёдорово Подворье,Фёдарава Падвор'е,Фёдорово Подворье
node,11357612969,Цветы,Кветкі,Цветы
node,11357612970,Цветы,Кветкі,Цветы
node,11357613069,Цветы,Кветкі,Цветы
node,11228827239,Шайтерово,Шайтарава,Шайтерово
node,10797277036,Юрьев Хутор,Юрʼеў Хутар,Юрьев Хутор
way,780251120,Ягодка,Ягадка,Ягодка
node,11245543779,Якорь,Якар,Якорь
way,1222509587,Якшицы,Якшыцы,Якшицы
