osm_type,osm_id,name,name:be,name:ru
way,551152184,Батошень,,
relation,7878709,Большая Людиха,,
way,548753389,Верхмач,,
way,818541239,Водохранилище Гранне,,
way,818541242,Водохранилище Гранне,,
way,551152181,Глухово,,
way,548713429,Дубецкое,,
way,515943431,Затока,,
way,25193799,Крива Річка,,
way,25192007,Навранское,,
way,25190367,Олешное,,
way,551126347,Орлица,,
way,90610502,Пожарный водоём,,
way,90610504,Пожарный водоём,,
way,446372862,Пожарный водоём,,
way,1270910136,Пожарный водоём,,
way,929332912,Пожарный пруд,,
way,1282533355,Противопожарный водоём,,
way,1257120027,Пугукало,,
relation,18108372,Разливы,,
way,882406240,Разливы,,
way,882406241,Разливы,,
way,25194537,Рухчанское,,
way,1250102203,Сажалка,,
relation,18456935,Станцыйная сажалка,,
relation,7878710,Старая рака,,
relation,192094,Черноручское водохранилище (Черноруч),,
way,551166420,Чертовое,,
way,25186037,Чорнае возера,,
way,1352101406,пожарное водохронилище,,
way,1003261806,сажалка Царкоўнiкi,,
