osm_type,osm_id,name,name:be,name:ru
way,1034477645,Беседки,,Беседки
way,740372429,Водохранилище Кошилово,,Водохранилище Кошилово
relation,2602426,Дамба,,Дамба
way,1410287933,Невесель,,Невесель
way,1410287936,Плесца,,Плесца
way,301208546,Святое озеро,,Святое озеро
way,203053897,Ставок,,Ставок
way,253438103,Старое озеро,,Старое озеро
way,1415974565,Столповщина,,Столповщина
way,1133560377,Царь-озеро,,Царь-озеро
way,327758148,Школьное озеро,,Школьное озеро
way,25193823,озеро Белева,,озеро Белева
way,1507500988,озеро Загроба,,озеро Загроба
way,388434799,озеро Каменное,,озеро Каменное
way,1507500985,озеро Ленино,,озеро Ленино
way,1131769576,озеро Мартиново,,озеро Мартиново
way,362088737,озеро Поддорьское,,озеро Поддорьское
way,1032857272,озеро Подзоровье,,озеро Подзоровье
way,1274343342,озеро Подсело,,озеро Подсело
way,29167339,озеро Рыбье,,озеро Рыбье
way,1131769578,озкро Ров,,озкро Ров
