osm_type,osm_id,name,name:be,name:ru
way,514520009,Gauja / Гавья,Гаўя,Гавья
way,917823009,Merkys / Мяркис,Мерачанка,Мяркис
way,660821195,Буковица,Букавіца,Втесвердинка
way,660821197,Буковица,Букавіца,Втесвердинка
way,660821199,Буковица,Букавіца,Втесвердинка
way,660821201,Буковица,Букавіца,Втесвердинка
way,660821202,Буковица,Букавіца,Втесвердинка
way,660821205,Буковица,Букавіца,Втесвердинка
way,660821207,Буковица,Букавіца,Втесвердинка
way,660821209,Буковица,Букавіца,Втесвердинка
way,979330372,Буковица,Букавіца,Втесвердинка
way,867412803,Косовка,Косаўка,Коссовка
way,503387706,М7 (Чырвоны калідор/Red Lane),М7 (Чырвоны калідор),М7 (Красный коридор)
way,868599825,Нараўка,Наревка,Наревка
way,500881998,Пограничная полоса - Border line,Памежная паласа,Пограничная полоса
way,500893535,Пограничная полоса - Border line,Памежная паласа,Пограничная полоса
way,342981063,Ясельдовский канал (Пана),Ясельдзінскі канал,Ясельдовский канал
