osm_type,osm_id,name,name:be,name:ru
relation,9197379,Арехауський канал / Горіхівський канал,Арэхаускі канал,
relation,3164596,Гаринь / Горинь,Гарынь,
relation,9255175,Головна канава,Галоўная канава,
relation,14476263,Жирівський канал / Жирівський канал,Жыроўскі канал,
relation,9256825,Канава Стрілка,канава Стрэлка,
relation,8330653,Немильня - Немильня,Нямыльня,
relation,9256824,Памежна канава / Прикордонна канава,Памежная канава,
relation,8867214,Прастир / Простір,Прастыр,
relation,7190105,Прип'ять / Прип'ять,Прыпяць,
relation,8534842,Рита / Рита,Рыта,
relation,8542617,Сирець / Сирець,Сырэц,
relation,3174963,Стир / Стир,Стыр,
