osm_type,osm_id,name,name:be,name:ru
relation,9205029,1-й Марьинский канал,,1-й Марьинский канал
relation,9205026,7-й Любанский канал,,7-й Любанский канал
relation,9256963,Александровский ручей,,Александровский ручей
relation,9205109,Барсучинка,,Барсучинка
relation,2751435,Барташунка,,Барташунка
relation,9213862,Белоозёрский канал,,Белоозёрский канал
relation,9253291,Бердыжка,,Бердыжка
relation,9201093,Бесинь,,Бесинь
relation,9200341,Блиновка,,Блиновка
relation,9584834,Блынь,,Блынь
relation,9191944,Броста,,Броста
relation,9255138,Бунинская канава,,Бунинская канава
relation,9253377,Бусничанка,,Бусничанка
relation,9198784,Валавский канал,,Валавский канал
relation,9200346,Валович,,Валович
relation,9259524,Великий канал,,Великий канал
relation,8868654,Вельжабка,,Вельжабка
relation,9495145,Верхпольница,,Верхпольница
relation,9255036,Викна,,Викна
relation,9205031,Водоноска,,Водоноска
relation,9253379,Водоотводящий канал,,Водоотводящий канал
relation,9200348,Воловельский канал,,Воловельский канал
relation,9255211,Волчанский канал,,Волчанский канал
relation,8588670,Воронинка,,Воронинка
relation,9198696,Высоко-Махновичский канал,,Высоко-Махновичский канал
relation,9391070,Гавиновка,,Гавиновка
relation,9188128,Ганочевка,,Ганочевка
relation,9192878,Гапеев ручей,,Гапеев ручей
relation,9190305,Главный канал,,Главный канал
relation,9201084,Глодовка,,Глодовка
relation,9198788,Головчицкий канал,,Головчицкий канал
relation,13962073,Горловский,,Горловский
relation,9253532,Городечна,,Городечна
relation,9200539,Городищанка,,Городищанка
relation,8557225,Горольянка,,Горольянка
relation,9214106,Гос. канава,,Гос. канава
relation,9214158,Греблёвка,,Греблёвка
relation,9193204,Губка,,Губка
relation,8548462,Губчицка,,Губчицка
relation,9188317,Давыдовский,,Давыдовский
relation,9255237,Давыдовский канал,,Давыдовский канал
relation,9258334,Дагилевский ручей,,Дагилевский ручей
relation,9255176,Двинская канава,,Двинская канава
relation,9188787,Дворянка,,Дворянка
relation,8873354,Дегтярка,,Дегтярка
relation,9253536,Дейка,,Дейка
relation,9214359,Домановичский канал,,Домановичский канал
relation,9254407,Домантовичский канал,,Домантовичский канал
relation,13365741,Дранец,,Дранец
relation,9213863,Драничный ручей,,Драничный ручей
relation,9198787,Дубнянская канава,,Дубнянская канава
relation,9201750,Дубовский канал,,Дубовский канал
relation,9254408,Дубовский канал,,Дубовский канал
relation,9201089,Дулепа,,Дулепа
relation,9187911,Дунаек,,Дунаек
relation,8548002,Дуницкая,,Дуницкая
relation,9569074,Едлина,,Едлина
relation,9200347,Жерчовка,,Жерчовка
relation,9188318,Жиговский ручей,,Жиговский ручей
relation,9199550,Жмурнянский канал,,Жмурнянский канал
relation,9593129,Закаплица,,Закаплица
relation,8873365,Закота,,Закота
relation,9205102,Заозерская канава,,Заозерская канава
relation,9198908,Запокулка,,Запокулка
relation,9350458,Зыбина,,Зыбина
relation,9205108,Иорданка,,Иорданка
relation,9214112,Казацкий канал,,Казацкий канал
relation,9210516,Казенная канава,,Казенная канава
relation,9191949,Калиновец,,Калиновец
relation,9201092,Каменочка,,Каменочка
relation,9197487,Катынь,,Катынь
relation,9255298,Клинна,,Клинна
relation,8542802,Клиновка,,Клиновка
relation,9209568,Клинский ручей,,Клинский ручей
relation,8285954,Княгиня,,Княгиня
relation,9251601,Кобринский Ров,,Кобринский Ров
relation,9205033,Кобровка,,Кобровка
relation,9255303,Кожушковский канал,,Кожушковский канал
relation,9199548,Кокуевичский канал,,Кокуевичский канал
relation,9191877,Колодерви,,Колодерви
relation,9200533,Колодня,,Колодня
relation,9190044,Колоднянский канал,,Колоднянский канал
relation,9584833,Колышанка,,Колышанка
relation,9196403,Кононовский канал,,Кононовский канал
relation,9191115,Копанец,,Копанец
relation,9210312,Копцевичский канал,,Копцевичский канал
relation,8878457,Копылка,,Копылка
relation,9193912,Кривичинский канал,,Кривичинский канал
relation,9214163,Криничная канава,,Криничная канава
relation,9197491,Кричевка,,Кричевка
relation,9189897,Круховец,,Круховец
relation,9413811,Кулевка,,Кулевка
relation,14076337,Куль паток,,Куль паток
relation,9213833,Купелка,,Купелка
relation,9255330,Куринка,,Куринка
relation,9189071,Куритичский канал,,Куритичский канал
relation,9213845,Лавский канал,,Лавский канал
relation,9255240,Ланьский канал,,Ланьский канал
relation,9189893,Лапеиха,,Лапеиха
relation,8541368,Ленушка,,Ленушка
relation,9192883,Лепесовка,,Лепесовка
relation,9922365,Ломовка,,Ломовка
relation,13768010,Лососница,,Лососница
relation,9210437,Лужайка,,Лужайка
relation,9188838,Любина,,Любина
relation,8285801,Любинка,,Любинка
relation,9187915,Малая Удожка,,Малая Удожка
relation,9256514,Малиновский канал,,Малиновский канал
relation,8548920,Маловоля,,Маловоля
relation,13128581,Малуша,,Малуша
relation,9191946,Мараневка,,Мараневка
relation,9214110,Мараневка,,Мараневка
relation,13568220,Медведка,,Медведка
relation,9255194,Межинская канава,,Межинская канава
relation,8285534,Мертва,,Мертва
relation,9201192,Месенка,,Месенка
relation,9198785,Мехедово-Грабовский канал,,Мехедово-Грабовский канал
relation,9204941,Мильчанка,,Мильчанка
relation,9187916,Михалкина,,Михалкина
relation,8550939,Млиновая речка,,Млиновая речка
relation,9495147,Млиновка,,Млиновка
relation,8863141,Могилянка,,Могилянка
relation,9256664,Мостищский канал,,Мостищский канал
relation,7948980,Мототыша,,Мототыша
relation,9600134,Муравка,,Муравка
relation,9200342,Мурашка,,Мурашка
relation,9191945,Мусвица,,Мусвица
relation,9199802,Найдо-Белёвский канал,,Найдо-Белёвский канал
relation,9201097,Нежевля,,Нежевля
relation,9199685,Низовая канава,,Низовая канава
relation,9214111,Низовский канал,,Низовский канал
relation,9205110,Новоселкинский канал,,Новоселкинский канал
relation,9188305,Новостянка,,Новостянка
relation,9198907,Новый Рыбхозный канал,,Новый Рыбхозный канал
relation,9205038,Озеранка,,Озеранка
relation,9256727,Озерянка,,Озерянка
relation,13235641,Олксна,,Олксна
relation,9214358,Ореховец,,Ореховец
relation,9200855,Осовецкий канал,,Осовецкий канал
relation,9213847,Острошанка,,Острошанка
relation,9210468,П-1,,П-1
relation,9210467,П-1-2,,П-1-2
relation,9193203,Панская канава,,Панская канава
relation,13236722,Перемерка,,Перемерка
relation,8557974,Переровница,,Переровница
relation,9191948,Песец,,Песец
relation,9196546,Песчань,,Песчань
relation,9200538,Пилипов ручей,,Пилипов ручей
relation,9969560,Пирутинская,,Пирутинская
relation,9200534,Пичисай,,Пичисай
relation,9255207,Плоская канава,,Плоская канава
relation,9200532,Погоричка,,Погоричка
relation,8547565,Подол,,Подол
relation,9197489,Пожихарский канал,,Пожихарский канал
relation,9188127,Покотки,,Покотки
relation,9201749,Полега,,Полега
relation,9256824,Прикордонная канава,,Прикордонная канава
relation,9188135,Продерка,,Продерка
relation,11609122,Прусовка,,Прусовка
relation,9495137,Прушиновка,,Прушиновка
relation,9187918,Рекуха,,Рекуха
relation,13900254,Ремашинский,,Ремашинский
relation,9495138,Ровка,,Ровка
relation,9214157,Роспись,,Роспись
