osm_type,osm_id,name,name:be,name:ru
way,38138756,Baltais ezers / Белае возера,Белае возера,Белое озеро
way,38137783,Garais ezers / Доўгае возера,Доўгае возера,Долгое озеро
way,37900535,Kamenkas ezers / возера Каменка,возера Каменка,озеро Каменка
way,25186545,Lielais Borvinkas ezers / возера Барвінак,возера Барвінак,озеро Борвинок
relation,5224123,Maksimovas ezers / возера Максімава,возера Максімава,озеро Максимово
way,38138743,Melnais ezers / Чорнае возера,Чорнае возера,Чёрное озеро
relation,1405501,Riču ezers / возера Рычы,возера Рычы,озеро Ричи
relation,1403854,Sitas ezers / возера Сіта,возера Сіта,озеро Сита
relation,182338,Szlamy / возера Шлямы,возера Шлямы,озеро Шлямы
way,37900522,ezers Beļānu / возера Бяляны,возера Бяляны,озеро Беляны
relation,5598254,ež. Apvardai / возера Апіварда,возера Апіварда,озеро Опиварда
relation,2219214,ež. Drūkšiai / возера Дрысвяты,возера Дрысвяты,озеро Дрисвяты
relation,5521028,ež. Giliūtas / возера Гілута,возера Гілута,озеро Гилута
relation,2783497,ež. Grūda / возера Груда,возера Груда,озеро Груда
relation,5521029,ež. Prūtas / возера Прута,возера Прута,озеро Прутас
relation,9303671,ež. Raukėta / возера Раўкета,возера Раўкета,озеро Равкета
relation,9632650,ež. Tverečius / возера Цверач,возера Цверач,озеро Твярячюс
relation,6769658,ežeras Dubas / возера Дуб,возера Дуб,озеро Дуб
way,16580405,jezioro Długie / возера Длузе,возера Длузе,озеро Длуге
way,16580402,jezioro Wiązowiec / возера Вензавец,возера Вензавец,озеро Вёнзовец
relation,9235656,Белае возера / Біле озеро,Белае возера,Белое озеро
way,25191565,озеро Велихове / возера Вяліхава,возера Вяліхава,озеро Велихово
