osm_type,osm_id,name,name:be,name:ru
way,25185102,Добрянское озеро,,Добрянское озеро
way,626209589,Довгенькое озеро,,Довгенькое озеро
way,25187344,Закотние озёра,,Закотние озёра
way,25185148,Камышовое озеро,,Камышовое озеро
way,398760342,Кирпич,,Кирпич
way,243772621,Копличное озеро,,Копличное озеро
way,25187451,Меловое озеро,,Меловое озеро
way,405160384,Мельничный пруд,,Мельничный пруд
way,627545497,Радомное,,Радомное
way,688425669,Синявочка,,Синявочка
way,25188436,Тростиное озеро,,Тростиное озеро
way,153944636,озеро Багново,,озеро Багново
way,25184659,озеро Ветовское,,озеро Ветовское
way,541786033,озеро Днеприще,,озеро Днеприще
way,25189533,озеро Зеркалка,,озеро Зеркалка
relation,9135094,озеро Капелька,,озеро Капелька
way,208415657,озеро Клименково,,озеро Клименково
way,1023630228,озеро Клячевское,,озеро Клячевское
way,405366202,озеро Липовка,,озеро Липовка
way,542510178,озеро Острица,,озеро Острица
way,403077534,озеро Полки,,озеро Полки
way,25188524,озеро Теневка,,озеро Теневка
way,405367744,озеро Шахово,,озеро Шахово
way,25181485,озеро Ясенок,,озеро Ясенок
relation,12602919,пруд Любви,,пруд Любви
relation,14341105,старица Перелочь,,старица Перелочь
