osm_type,osm_id,name,name:be,name:ru
way,274072657,Kanał Augustowski / Августовский канал,,
way,609676122,Kanał Augustowski / Августовский канал,,
way,661439493,Kanał Augustowski / Августовский канал,,
way,708019944,Kanał Augustowski / Августовский канал,,
way,29173208,Августовский канал,,
way,254047800,Августовский канал,,
way,254309068,Августовский канал,,
way,254319000,Августовский канал,,
way,254319001,Августовский канал,,
way,254319002,Августовский канал,,
way,254319003,Августовский канал,,
way,254319004,Августовский канал,,
way,254319005,Августовский канал,,
way,254319006,Августовский канал,,
way,510510594,Августовский канал,,
way,510510604,Августовский канал,,
way,661439474,Августовский канал,,
way,661439475,Августовский канал,,
way,661439476,Августовский канал,,
way,661439477,Августовский канал,,
way,661439478,Августовский канал,,
way,661439479,Августовский канал,,
way,661439481,Августовский канал,,
way,661439482,Августовский канал,,
way,661439485,Августовский канал,,
way,661439489,Августовский канал,,
way,510510606,Домбровка,,
way,332377926,Житковичский,,
way,569431913,Житковичский,,
way,656049761,Житковичский,,
way,1044478322,Житковичский,,
way,1044478325,Житковичский,,
way,1075565881,Житковичский,,
way,1080926486,Житковичский,,
way,1080926487,Житковичский,,
