osm_type,osm_id,name,name:be,name:ru
way,29173208,Августовский канал,Аўгустоўскі канал,
way,254047800,Августовский канал,Аўгустоўскі канал,
way,254309068,Августовский канал,Аўгустоўскі канал,
way,254319000,Августовский канал,Аўгустоўскі канал,
way,254319001,Августовский канал,Аўгустоўскі канал,
way,254319002,Августовский канал,Аўгустоўскі канал,
way,254319003,Августовский канал,Аўгустоўскі канал,
way,254319004,Августовский канал,Аўгустоўскі канал,
way,254319005,Августовский канал,Аўгустоўскі канал,
way,254319006,Августовский канал,Аўгустоўскі канал,
way,510510594,Августовский канал,Аўгустоўскі канал,
way,510510604,Августовский канал,Аўгустоўскі канал,
way,661439474,Августовский канал,Аўгустоўскі канал,
way,661439475,Августовский канал,Аўгустоўскі канал,
way,661439476,Августовский канал,Аўгустоўскі канал,
way,661439477,Августовский канал,Аўгустоўскі канал,
way,661439478,Августовский канал,Аўгустоўскі канал,
way,661439479,Августовский канал,Аўгустоўскі канал,
way,661439481,Августовский канал,Аўгустоўскі канал,
way,661439482,Августовский канал,Аўгустоўскі канал,
way,661439485,Августовский канал,Аўгустоўскі канал,
way,661439489,Августовский канал,Аўгустоўскі канал,
way,510510606,Домбровка,Дамброўка,
