osm_type,osm_id,name,name:be,name:ru
way,151632289,1-й Тёплый канал,,1-й Тёплый канал
way,240312823,2-й Теплый канал,,2-й Теплый канал
relation,9213862,Белоозёрский канал,,Белоозёрский канал
way,29079666,Белоозёрский канал,,Белоозёрский канал
way,380122390,Воловельский канал,,Воловельский канал
relation,9255211,Волчанский канал,,Волчанский канал
way,518441313,Волчанский канал,,Волчанский канал
way,518441320,Волчанский канал,,Волчанский канал
way,518441321,Волчанский канал,,Волчанский канал
way,705226459,Волчанский канал,,Волчанский канал
relation,9198696,Высоко-Махновичский канал,,Высоко-Махновичский канал
way,661685826,Высоко-Махновичский канал,,Высоко-Махновичский канал
way,661685827,Высоко-Махновичский канал,,Высоко-Махновичский канал
way,661685828,Высоко-Махновичский канал,,Высоко-Махновичский канал
way,661685829,Высоко-Махновичский канал,,Высоко-Махновичский канал
way,661685830,Высоко-Махновичский канал,,Высоко-Махновичский канал
way,661685831,Высоко-Махновичский канал,,Высоко-Махновичский канал
way,661685832,Высоко-Махновичский канал,,Высоко-Махновичский канал
way,661685833,Высоко-Махновичский канал,,Высоко-Махновичский канал
way,383399848,Главный канал,,Главный канал
way,274867909,Глухая Лань,,Глухая Лань
relation,9198788,Головчицкий канал,,Головчицкий канал
way,290134025,Головчицкий канал,,Головчицкий канал
way,290134028,Головчицкий канал,,Головчицкий канал
way,292841421,Головчицкий канал,,Головчицкий канал
relation,9214106,Гос. канава,,Гос. канава
way,334284909,Гос. канава,,Гос. канава
relation,9201750,Дубовский канал,,Дубовский канал
relation,9254408,Дубовский канал,,Дубовский канал
way,327131548,Дубовский канал,,Дубовский канал
way,408119965,Дубовский канал,,Дубовский канал
way,408119967,Дубовский канал,,Дубовский канал
way,658522830,Дубовский канал,,Дубовский канал
way,658522831,Дубовский канал,,Дубовский канал
way,658522832,Дубовский канал,,Дубовский канал
way,658522833,Дубовский канал,,Дубовский канал
way,661899661,Дубовский канал,,Дубовский канал
way,661899662,Дубовский канал,,Дубовский канал
way,661899663,Дубовский канал,,Дубовский канал
way,661899664,Дубовский канал,,Дубовский канал
way,718947712,Кан. Л-4-0-5,,Кан. Л-4-0-5
way,718947711,Кан. Л-4-1-1,,Кан. Л-4-1-1
way,719968253,Кан. Л-4-1-1,,Кан. Л-4-1-1
way,718947710,Кан. Л-4-3-1,,Кан. Л-4-3-1
way,320962370,Канал Стрижево,,Канал Стрижево
way,727246466,Канал Стрижево,,Канал Стрижево
way,727246467,Канал Стрижево,,Канал Стрижево
way,727246468,Канал Стрижево,,Канал Стрижево
way,727246469,Канал Стрижево,,Канал Стрижево
way,727246471,Канал Стрижево,,Канал Стрижево
way,727246472,Канал Стрижево,,Канал Стрижево
way,727246473,Канал Стрижево,,Канал Стрижево
way,727246474,Канал Стрижево,,Канал Стрижево
way,727246475,Канал Стрижево,,Канал Стрижево
way,727246476,Канал Стрижево,,Канал Стрижево
way,727261120,Канал Стрижево,,Канал Стрижево
way,727261121,Канал Стрижево,,Канал Стрижево
way,727261134,Канал Стрижево,,Канал Стрижево
way,727261135,Канал Стрижево,,Канал Стрижево
relation,9255303,Кожушковский канал,,Кожушковский канал
way,25047206,Кожушковский канал,,Кожушковский канал
way,332559399,Кожушковский канал,,Кожушковский канал
way,332559400,Кожушковский канал,,Кожушковский канал
way,538399714,Кожушковский канал,,Кожушковский канал
way,538399715,Кожушковский канал,,Кожушковский канал
way,666081041,Кожушковский канал,,Кожушковский канал
way,666081042,Кожушковский канал,,Кожушковский канал
relation,9189071,Куритичский канал,,Куритичский канал
way,292992701,Куритичский канал,,Куритичский канал
way,292992706,Куритичский канал,,Куритичский канал
way,292992722,Куритичский канал,,Куритичский канал
way,660833841,Куритичский канал,,Куритичский канал
way,660833842,Куритичский канал,,Куритичский канал
way,660833843,Куритичский канал,,Куритичский канал
way,660833844,Куритичский канал,,Куритичский канал
way,660833845,Куритичский канал,,Куритичский канал
way,660833846,Куритичский канал,,Куритичский канал
relation,9213845,Лавский канал,,Лавский канал
way,25062069,Лавский канал,,Лавский канал
way,666197860,Новобелицкий канал,,Новобелицкий канал
way,666197861,Новобелицкий канал,,Новобелицкий канал
way,1009098019,Новобелицкий канал,,Новобелицкий канал
relation,9198907,Новый Рыбхозный канал,,Новый Рыбхозный канал
way,307021926,Новый Рыбхозный канал,,Новый Рыбхозный канал
way,661709766,Новый Рыбхозный канал,,Новый Рыбхозный канал
way,661709768,Новый Рыбхозный канал,,Новый Рыбхозный канал
way,661709790,Новый Рыбхозный канал,,Новый Рыбхозный канал
way,661709794,Новый Рыбхозный канал,,Новый Рыбхозный канал
way,718947719,ОС.2,,ОС.2
way,110282110,Ров форта Ж,,Ров форта Ж
way,393925443,Руденский канал,,Руденский канал
way,661463276,Святицкая,,Святицкая
relation,9210518,Ситницкий канал,,Ситницкий канал
way,25071092,Ситницкий канал,,Ситницкий канал
way,656592950,Ситницкий канал,,Ситницкий канал
way,658396188,Ситницкий канал,,Ситницкий канал
way,658396189,Ситницкий канал,,Ситницкий канал
way,660487776,Ситницкий канал,,Ситницкий канал
way,660487785,Ситницкий канал,,Ситницкий канал
way,660487786,Ситницкий канал,,Ситницкий канал
way,516635375,Сточная канава очистных сооружений,,Сточная канава очистных сооружений
