osm_type,osm_id,name,name:be,name:ru
relation,9205029,1-й Марьинский канал,,1-й Марьинский канал
way,480017018,1-й Марьинский канал,,1-й Марьинский канал
way,570369333,1-й Марьинский канал,,1-й Марьинский канал
way,570369334,1-й Марьинский канал,,1-й Марьинский канал
way,570369335,1-й Марьинский канал,,1-й Марьинский канал
way,570369336,1-й Марьинский канал,,1-й Марьинский канал
way,570369337,1-й Марьинский канал,,1-й Марьинский канал
way,570369338,1-й Марьинский канал,,1-й Марьинский канал
way,570369339,1-й Марьинский канал,,1-й Марьинский канал
way,570369340,1-й Марьинский канал,,1-й Марьинский канал
way,570369341,1-й Марьинский канал,,1-й Марьинский канал
way,666196276,1-й Марьинский канал,,1-й Марьинский канал
way,666196277,1-й Марьинский канал,,1-й Марьинский канал
way,666196336,1-й Марьинский канал,,1-й Марьинский канал
way,666196337,1-й Марьинский канал,,1-й Марьинский канал
relation,9255138,Бунинская канава,,Бунинская канава
way,458344232,Бунинская канава,,Бунинская канава
way,458344233,Бунинская канава,,Бунинская канава
way,458344234,Бунинская канава,,Бунинская канава
way,458344235,Бунинская канава,,Бунинская канава
way,458344236,Бунинская канава,,Бунинская канава
way,458344237,Бунинская канава,,Бунинская канава
way,458344238,Бунинская канава,,Бунинская канава
way,458344239,Бунинская канава,,Бунинская канава
way,458344243,Бунинская канава,,Бунинская канава
way,458344244,Бунинская канава,,Бунинская канава
way,458344247,Бунинская канава,,Бунинская канава
way,458344248,Бунинская канава,,Бунинская канава
way,666057146,Бунинская канава,,Бунинская канава
way,666057147,Бунинская канава,,Бунинская канава
way,666057148,Бунинская канава,,Бунинская канава
relation,9198784,Валавский канал,,Валавский канал
way,292156401,Валавский канал,,Валавский канал
way,661694492,Валавский канал,,Валавский канал
way,661694493,Валавский канал,,Валавский канал
way,661694494,Валавский канал,,Валавский канал
way,661694495,Валавский канал,,Валавский канал
way,661694497,Валавский канал,,Валавский канал
way,661694498,Валавский канал,,Валавский канал
way,661694499,Валавский канал,,Валавский канал
way,661694500,Валавский канал,,Валавский канал
way,661694501,Валавский канал,,Валавский канал
way,661694502,Валавский канал,,Валавский канал
way,661694503,Валавский канал,,Валавский канал
way,661694504,Валавский канал,,Валавский канал
relation,9259524,Великий канал,,Великий канал
way,256596606,Великий канал,,Великий канал
way,661509253,Великий канал,,Великий канал
way,661509254,Великий канал,,Великий канал
way,661509255,Великий канал,,Великий канал
way,661509256,Великий канал,,Великий канал
relation,9200348,Воловельский канал,,Воловельский канал
way,380133988,Воловельский канал,,Воловельский канал
way,380133994,Воловельский канал,,Воловельский канал
way,661791311,Воловельский канал,,Воловельский канал
way,630359757,Главная канава,,Главная канава
relation,9190305,Главный канал,,Главный канал
relation,9255237,Давыдовский канал,,Давыдовский канал
relation,9255176,Двинская канава,,Двинская канава
way,626503883,Двинская канава,,Двинская канава
relation,9214359,Домановичский канал,,Домановичский канал
relation,9198787,Дубнянская канава,,Дубнянская канава
way,292834672,Дубнянская канава,,Дубнянская канава
way,661694535,Дубнянская канава,,Дубнянская канава
way,661694536,Дубнянская канава,,Дубнянская канава
way,661694538,Дубнянская канава,,Дубнянская канава
way,661694540,Дубнянская канава,,Дубнянская канава
way,661694546,Дубнянская канава,,Дубнянская канава
way,661694547,Дубнянская канава,,Дубнянская канава
relation,9199550,Жмурнянский канал,,Жмурнянский канал
way,321619648,Жмурнянский канал,,Жмурнянский канал
way,574818977,Жмурнянский канал,,Жмурнянский канал
way,574818978,Жмурнянский канал,,Жмурнянский канал
way,661728016,Жмурнянский канал,,Жмурнянский канал
way,661728017,Жмурнянский канал,,Жмурнянский канал
way,375591344,Замковый ров,,Замковый ров
relation,9205102,Заозерская канава,,Заозерская канава
way,487014371,Заозерская канава,,Заозерская канава
way,487020430,Заозерская канава,,Заозерская канава
way,487020431,Заозерская канава,,Заозерская канава
way,288391115,Избынька,,Избынька
way,666367343,Избынька,,Избынька
way,666367344,Избынька,,Избынька
way,666367345,Избынька,,Избынька
way,666367346,Избынька,,Избынька
way,666367347,Избынька,,Избынька
way,666367348,Избынька,,Избынька
way,666367349,Избынька,,Избынька
way,666367350,Избынька,,Избынька
way,666367351,Избынька,,Избынька
way,666367352,Избынька,,Избынька
way,666367353,Избынька,,Избынька
way,666367354,Избынька,,Избынька
way,666367355,Избынька,,Избынька
way,666367356,Избынька,,Избынька
way,666367357,Избынька,,Избынька
way,666367358,Избынька,,Избынька
way,666367369,Избынька,,Избынька
way,666367370,Избынька,,Избынька
way,768071307,Избынька,,Избынька
way,768071308,Избынька,,Избынька
relation,9214112,Казацкий канал,,Казацкий канал
relation,9210516,Казенная канава,,Казенная канава
way,25064711,Казенная канава,,Казенная канава
way,654073678,Казенная канава,,Казенная канава
way,654073679,Казенная канава,,Казенная канава
way,654073687,Казенная канава,,Казенная канава
relation,9251601,Кобринский Ров,,Кобринский Ров
relation,9199548,Кокуевичский канал,,Кокуевичский канал
way,320818461,Кокуевичский канал,,Кокуевичский канал
way,320819553,Кокуевичский канал,,Кокуевичский канал
way,320819555,Кокуевичский канал,,Кокуевичский канал
way,320819816,Кокуевичский канал,,Кокуевичский канал
way,320819817,Кокуевичский канал,,Кокуевичский канал
way,320821321,Кокуевичский канал,,Кокуевичский канал
way,320821324,Кокуевичский канал,,Кокуевичский канал
way,320821328,Кокуевичский канал,,Кокуевичский канал
way,320821331,Кокуевичский канал,,Кокуевичский канал
way,386693171,Кокуевичский канал,,Кокуевичский канал
way,386693172,Кокуевичский канал,,Кокуевичский канал
relation,9190044,Колоднянский канал,,Колоднянский канал
way,570480241,Колоднянский канал,,Колоднянский канал
way,660909042,Колоднянский канал,,Колоднянский канал
way,660909043,Колоднянский канал,,Колоднянский канал
way,660909044,Колоднянский канал,,Колоднянский канал
relation,9196403,Кононовский канал,,Кононовский канал
way,230059274,Кононовский канал,,Кононовский канал
way,661509239,Кононовский канал,,Кононовский канал
way,661509240,Кононовский канал,,Кононовский канал
