osm_type,osm_id,name,name:be,name:ru
relation,16842244,Отокский канал,,
way,121509758,Отокский канал,,
way,696497488,Отокский канал,,
way,696497495,Отокский канал,,
way,696497497,Отокский канал,,
way,696497525,Отокский канал,,
way,696510512,Отокский канал,,
way,696510517,Отокский канал,,
way,696510519,Отокский канал,,
way,696523645,Отокский канал,,
way,1084209590,Отокский канал,,
way,1084209594,Отокский канал,,
way,1152337849,Отокский канал,,
way,1231760061,Отокский канал,,
way,1232241103,канал Атокскi,,
way,1232241104,канал Атокскi,,
