osm_type,osm_id,name,name:be,name:ru
way,378121684,Бакшта,,Бакшта
way,484581116,Бакшта,,Бакшта
way,846408692,Бакшта,,Бакшта
way,846408693,Бакшта,,Бакшта
way,846408794,Бакшта,,Бакшта
way,25175878,Балешинка,,Балешинка
way,484041586,Балешинка,,Балешинка
relation,9205109,Барсучинка,,Барсучинка
way,378167910,Белодольна,,Белодольна
way,378167912,Белодольна,,Белодольна
way,378173818,Белодольна,,Белодольна
way,378173821,Белодольна,,Белодольна
way,681335802,Белодольна,,Белодольна
way,851496823,Белодольна,,Белодольна
relation,9253291,Бердыжка,,Бердыжка
relation,9201093,Бесинь,,Бесинь
relation,9191944,Броста,,Броста
relation,9253377,Бусничанка,,Бусничанка
relation,9200346,Валович,,Валович
way,25175599,Ведьменка,,Ведьменка
way,606759004,Ведьменка,,Ведьменка
relation,8868654,Вельжабка,,Вельжабка
relation,9495145,Верхпольница,,Верхпольница
way,29173241,Верхпольница,,Верхпольница
way,29173242,Верхпольница,,Верхпольница
way,29173243,Верхпольница,,Верхпольница
way,85715042,Верхпольница,,Верхпольница
way,102481536,Верхпольница,,Верхпольница
way,102481541,Верхпольница,,Верхпольница
way,102481544,Верхпольница,,Верхпольница
way,102481556,Верхпольница,,Верхпольница
way,499301807,Верхпольница,,Верхпольница
way,684437374,Верхпольница,,Верхпольница
way,684437375,Верхпольница,,Верхпольница
relation,9255036,Викна,,Викна
way,25175625,Викна,,Викна
way,329565096,Викна,,Викна
way,329565097,Викна,,Викна
way,397474201,Викна,,Викна
way,397474202,Викна,,Викна
way,603284726,Викна,,Викна
way,666050241,Викна,,Викна
way,666050243,Викна,,Викна
way,666050245,Викна,,Викна
way,25175598,Воленка,,Воленка
way,25175864,Воленка,,Воленка
way,484064373,Воленка,,Воленка
way,840510943,Воленка,,Воленка
way,598466723,Волотова протока,,Волотова протока
way,25076203,Волчанский канал,,Волчанский канал
relation,9391070,Гавиновка,,Гавиновка
way,220921945,Гавиновка,,Гавиновка
way,445504277,Гавиновка,,Гавиновка
way,445504278,Гавиновка,,Гавиновка
way,675134942,Гавиновка,,Гавиновка
way,675134943,Гавиновка,,Гавиновка
way,983882372,Гавиновка,,Гавиновка
way,983882373,Гавиновка,,Гавиновка
relation,9188128,Ганочевка,,Ганочевка
way,455543440,Герница,,Герница
way,455543443,Герница,,Герница
way,484581091,Герница,,Герница
way,801524267,Герница,,Герница
way,801524268,Герница,,Герница
way,843076713,Герница,,Герница
relation,9201084,Глодовка,,Глодовка
way,275525913,Гнилица (старик),,Гнилица (старик)
way,378961006,Гнилица (старик),,Гнилица (старик)
way,618637697,Гнилица (старик),,Гнилица (старик)
way,618637699,Гнилица (старик),,Гнилица (старик)
way,618637702,Гнилица (старик),,Гнилица (старик)
way,618637704,Гнилица (старик),,Гнилица (старик)
way,618637721,Гнилица (старик),,Гнилица (старик)
way,618637724,Гнилица (старик),,Гнилица (старик)
way,618637726,Гнилица (старик),,Гнилица (старик)
way,25176050,Голдовка,,Голдовка
way,25173832,Головнянка,,Головнянка
way,740917679,Головнянка,,Головнянка
way,1043714302,Головнянка,,Головнянка
way,1043714303,Головнянка,,Головнянка
way,1043714304,Головнянка,,Головнянка
way,1043714305,Головнянка,,Головнянка
way,1043714322,Головнянка,,Головнянка
way,1043714323,Головнянка,,Головнянка
way,1043714368,Головнянка,,Головнянка
way,1043714369,Головнянка,,Головнянка
way,1043847885,Головнянка,,Головнянка
way,1043847886,Головнянка,,Головнянка
way,735405699,Городищанка,,Городищанка
way,1043847854,Городищанка,,Городищанка
way,1043847855,Городищанка,,Городищанка
way,1043847857,Городищанка,,Городищанка
way,1043847858,Городищанка,,Городищанка
way,1043847859,Городищанка,,Городищанка
way,1043847860,Городищанка,,Городищанка
way,1043847861,Городищанка,,Городищанка
way,1043847862,Городищанка,,Городищанка
way,1043847878,Городищанка,,Городищанка
way,1043847879,Городищанка,,Городищанка
relation,8557225,Горольянка,,Горольянка
way,398462842,Горольянка,,Горольянка
way,398462843,Горольянка,,Горольянка
way,398462845,Горольянка,,Горольянка
way,398462847,Горольянка,,Горольянка
way,398462860,Горольянка,,Горольянка
way,398462863,Горольянка,,Горольянка
way,398462864,Горольянка,,Горольянка
relation,9214158,Греблёвка,,Греблёвка
relation,8548462,Губчицка,,Губчицка
way,592141825,Губчицка,,Губчицка
relation,9188787,Дворянка,,Дворянка
relation,9253536,Дейка,,Дейка
way,25176248,Дейка,,Дейка
way,440613573,Дейка,,Дейка
way,485186192,Дейка,,Дейка
way,485186193,Дейка,,Дейка
way,485186294,Дейка,,Дейка
way,485186295,Дейка,,Дейка
way,665971548,Дейка,,Дейка
way,665971549,Дейка,,Дейка
relation,9201089,Дулепа,,Дулепа
relation,8548002,Дуницкая,,Дуницкая
relation,9200347,Жерчовка,,Жерчовка
way,378104005,Жерчовка,,Жерчовка
way,378104062,Жерчовка,,Жерчовка
way,378104064,Жерчовка,,Жерчовка
way,661791309,Жерчовка,,Жерчовка
way,661791310,Жерчовка,,Жерчовка
relation,9593129,Закаплица,,Закаплица
relation,8873365,Закота,,Закота
way,25052651,Закота,,Закота
way,288600849,Закота,,Закота
way,484609397,Земчтака,,Земчтака
way,500678227,Земччатка,,Земччатка
relation,9350458,Зыбина,,Зыбина
relation,9205108,Иорданка,,Иорданка
relation,9191949,Калиновец,,Калиновец
relation,9201092,Каменочка,,Каменочка
way,735405691,Кардашовка,,Кардашовка
relation,9197487,Катынь,,Катынь
way,25174658,Клечитна,,Клечитна
relation,8542802,Клиновка,,Клиновка
way,25034653,Клиновка,,Клиновка
relation,9205033,Кобровка,,Кобровка
way,364254224,Ковшовка,,Ковшовка
relation,9191877,Колодерви,,Колодерви
relation,9200533,Колодня,,Колодня
relation,9191115,Копанец,,Копанец
way,25168953,Копанец,,Копанец
way,25168954,Копанец,,Копанец
way,661009189,Копанец,,Копанец
way,661009190,Копанец,,Копанец
relation,9413811,Кулевка,,Кулевка
way,25178990,Кулевка,,Кулевка
relation,9189893,Лапеиха,,Лапеиха
relation,8541368,Ленушка,,Ленушка
way,332522512,Ленушка,,Ленушка
way,379922193,Ленушка,,Ленушка
relation,9192883,Лепесовка,,Лепесовка
relation,9210437,Лужайка,,Лужайка
relation,9188838,Любина,,Любина
relation,8548920,Маловоля,,Маловоля
way,25175848,Маловоля,,Маловоля
way,480464073,Маловоля,,Маловоля
way,480464074,Маловоля,,Маловоля
way,484646209,Маловоля,,Маловоля
way,484646210,Маловоля,,Маловоля
way,571447356,Маловоля,,Маловоля
way,571447359,Маловоля,,Маловоля
way,571447362,Маловоля,,Маловоля
way,571447365,Маловоля,,Маловоля
relation,9191946,Мараневка,,Мараневка
relation,9214110,Мараневка,,Мараневка
way,484581324,Медвиновка,,Медвиновка
way,25175839,Медвинувка,,Медвинувка
way,484581354,Медвинувка,,Медвинувка
way,484581355,Медвинувка,,Медвинувка
relation,9198785,Мехедово-Грабовский канал,,Мехедово-Грабовский канал
relation,9204941,Мильчанка,,Мильчанка
relation,9187916,Михалкина,,Михалкина
relation,8550939,Млиновая речка,,Млиновая речка
way,379337559,Млиновая речка,,Млиновая речка
way,677926968,Млиновая речка,,Млиновая речка
way,677926969,Млиновая речка,,Млиновая речка
relation,9495147,Млиновка,,Млиновка
way,25175900,Млиновка,,Млиновка
way,488063756,Млиновка,,Млиновка
