osm_type,osm_id,name,name:be,name:ru
relation,8863991,Berjozovka / Бярозаўка,Бярозаўка,Березовка
relation,11963948,Bražylė / Бражолка,Бражолка,Бражолка
way,25179735,Istoczanka - Істачанка,Істачанка,Источанка
way,1002567267,Istoczanka - Істачанка,Істачанка,Источанка
way,1002567880,Istoczanka - Істачанка,Істачанка,Источанка
way,1002567881,Istoczanka - Істачанка,Істачанка,Источанка
way,1002569204,Istoczanka - Істачанка,Істачанка,Источанка
relation,12417545,Melnupīte / Чорны ручай,Чорны ручай,Чёрный ручей
relation,12417429,Netīrā upīte / Брудны ручай,Брудны ручай,Брудный ручей
relation,9495144,Rosicas strauts / ручай Росіца,ручай Росіца,ручей Росица
relation,12417428,Stavupe / ручай Стаў,ручай Стаў,ручей Став
relation,19249643,Tovša / Тоўша,Тоўша,Товша
relation,12662470,Ščerba / Шчырба,Шчырба,Щирба
way,938364983,Ščerba / Шчырба,Шчырба,Щирба
way,1162059937,Пульва - Pulwa,Пульва,Пульва
