osm_type,osm_id,name,name:be,name:ru
way,25169384,Бобровик,,Бобровик
way,485919152,Бобровик,,Бобровик
way,25032951,Воротна,,Воротна
way,575549466,Воротна,,Воротна
way,875087244,Воротна,,Воротна
way,875087245,Воротна,,Воротна
way,875087246,Воротна,,Воротна
way,875087247,Воротна,,Воротна
way,875087248,Воротна,,Воротна
way,875087249,Воротна,,Воротна
way,876158089,Воротна,,Воротна
way,876158091,Воротна,,Воротна
way,876169554,Воротна,,Воротна
way,25061873,Городника,,Городника
way,578483238,Городника,,Городника
way,578483248,Городника,,Городника
way,25053437,Дворянка,,Дворянка
way,660808941,Дворянка,,Дворянка
way,660808942,Дворянка,,Дворянка
way,660808943,Дворянка,,Дворянка
way,660808944,Дворянка,,Дворянка
way,997649377,Дворянка,,Дворянка
way,997649378,Дворянка,,Дворянка
way,25058043,Десятина,,Десятина
way,731919566,Десятина,,Десятина
way,731919567,Десятина,,Десятина
way,731919571,Десятина,,Десятина
way,731919572,Десятина,,Десятина
way,731919573,Десятина,,Десятина
way,731919574,Десятина,,Десятина
way,373184367,Коровинка,,Коровинка
way,25171765,Ляженка,,Ляженка
way,778391761,Макрица,,Макрица
way,1095352669,Макрица,,Макрица
way,1095352670,Макрица,,Макрица
way,1095352671,Макрица,,Макрица
way,1095352672,Макрица,,Макрица
way,1095352673,Макрица,,Макрица
way,25040675,Поповик,,Поповик
way,522797016,Поповик,,Поповик
way,25032967,Радвинка,,Радвинка
way,1097660482,Радвинка,,Радвинка
way,1097660483,Радвинка,,Радвинка
way,1097660512,Радвинка,,Радвинка
way,1097660513,Радвинка,,Радвинка
way,25034421,Рулино,,Рулино
way,843053748,Рулино,,Рулино
way,952689599,Рулино,,Рулино
way,25031326,Солоний,,Солоний
way,852987155,Темринка,,Темринка
way,25052295,Урченка,,Урченка
way,852998597,Урченка,,Урченка
way,852998598,Урченка,,Урченка
way,999707282,Черодерни,,Черодерни
