lvl,category,be=ru,be+ru,be,ru+be,ru,other both,other be,other ru,no lang,be=ru%,be+ru%,be%,ru+be%,ru%,other both%,other be%,other ru%,no lang%
#,admin,0,0,0,0,0,0,0,0,7,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
,admin_level = 2,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,admin_level = 4,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,admin_level = 6,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,admin_level = 8,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,admin_level = 9,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,::label = *,0,0,0,0,0,0,0,0,7,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
#,place,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,place = city,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,place = town,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,place = village,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,place = hamlet,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,place = isolated_dwelling,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,boundary = administrative,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,traffic_sign = city_limit,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,admin_level = *,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
#,allotments,0,0,0,0,0,0,0,0,13,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
,place = allotments,0,0,0,0,0,0,0,0,11,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
,landuse = allotments,0,0,0,0,0,0,0,0,13,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
,allotments = *,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
#,locality,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,place = locality,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,abandoned:place = *,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
#,suburb,0,56,0,2,2,2,0,0,366,0.000,0.131,0.000,0.005,0.005,0.005,0.000,0.000,0.855
,landuse = cemetery,0,1,0,0,0,0,0,0,5,0.000,0.167,0.000,0.000,0.000,0.000,0.000,0.000,0.833
,landuse = commercial,0,11,0,0,1,1,0,0,48,0.000,0.180,0.000,0.000,0.016,0.016,0.000,0.000,0.787
,landuse = construction,0,0,0,0,0,0,0,0,21,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
,landuse = farmland,0,0,0,0,0,0,0,0,13,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
,landuse = farmyard,0,0,0,0,1,0,0,0,89,0.000,0.000,0.000,0.000,0.011,0.000,0.000,0.000,0.989
,landuse = residential,0,1,0,0,0,0,0,0,11,0.000,0.083,0.000,0.000,0.000,0.000,0.000,0.000,0.917
,landuse = retail,0,0,0,0,0,1,0,0,28,0.000,0.000,0.000,0.000,0.000,0.034,0.000,0.000,0.966
,leisure = park,0,3,0,0,0,0,0,0,14,0.000,0.176,0.000,0.000,0.000,0.000,0.000,0.000,0.824
,leisure = garden,0,12,0,1,0,0,0,0,6,0.000,0.632,0.000,0.053,0.000,0.000,0.000,0.000,0.316
,amenity = marketplace,0,0,0,0,0,0,0,0,23,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
,place = *,0,0,0,0,0,0,0,0,3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
,residential = *,0,0,0,0,0,0,0,0,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
,landuse = *,0,31,0,1,0,0,0,0,117,0.000,0.208,0.000,0.007,0.000,0.000,0.000,0.000,0.785
#,natural,0,13,0,0,0,0,0,0,546,0.000,0.023,0.000,0.000,0.000,0.000,0.000,0.000,0.977
,place = island,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,place = islet,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,landuse = forest,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,leisure = nature_reserve,0,4,0,0,0,0,0,0,21,0.000,0.160,0.000,0.000,0.000,0.000,0.000,0.000,0.840
,boundary = *,0,12,0,0,0,0,0,0,510,0.000,0.023,0.000,0.000,0.000,0.000,0.000,0.000,0.977
,natural = *,0,0,0,0,0,0,0,0,13,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
,ele = *,0,1,0,0,0,0,0,0,23,0.000,0.042,0.000,0.000,0.000,0.000,0.000,0.000,0.958
#,water,0,0,0,0,0,0,0,0,77,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
,waterway = drain,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,waterway = ditch,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,waterway = stream,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,waterway = river,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,waterway = canal,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,type = waterway,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,type = watershed,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,natural = water,0,0,0,0,0,0,0,0,16,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
,natural = spring,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,tunnel = *,0,0,0,0,0,0,0,0,60,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
,waterway = *,0,0,0,0,0,0,0,0,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
,water = *,0,0,0,0,0,0,0,0,14,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
#,highway,0,0,0,0,0,0,0,0,429,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
,highway = motorway,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,highway = trunk,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,highway = primary,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,highway = secondary,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,highway = tertiary,0,0,0,0,0,0,0,0,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
,highway = unclassified,0,0,0,0,0,0,0,0,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
,highway = residential,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,highway = service,0,0,0,0,0,0,0,0,4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
,highway = track,0,0,0,0,0,0,0,0,15,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
,type = associatedStreet,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,type = street,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,highway = *,0,0,0,0,0,0,0,0,135,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
,bridge = *,0,0,0,0,0,0,0,0,277,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
#,public_transport,0,13,0,1238,17,0,5,3,12202,0.000,0.001,0.000,0.092,0.001,0.000,0.000,0.000,0.905
,highway = bus_stop,0,0,0,635,7,0,0,2,4503,0.000,0.000,0.000,0.123,0.001,0.000,0.000,0.000,0.875
,type = route,0,0,0,0,0,0,0,0,64,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
,type = route_master,0,10,0,0,0,0,3,0,538,0.000,0.018,0.000,0.000,0.000,0.000,0.005,0.000,0.976
,type = disused:route,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,type = public_transport,0,0,0,0,0,0,0,0,728,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
,building = train_station,0,0,0,0,0,0,0,0,33,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
,building = transportation,0,0,0,0,0,0,0,0,8,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
,amenity = bus_station,0,0,0,0,0,0,0,0,59,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
,amenity = ferry_terminal,0,0,0,0,0,0,0,0,9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
,public_transport = *,0,0,0,1238,17,0,0,3,8842,0.000,0.000,0.000,0.123,0.002,0.000,0.000,0.000,0.875
,route = *,0,3,0,0,0,0,2,0,1302,0.000,0.002,0.000,0.000,0.000,0.000,0.002,0.000,0.996
,route_master = *,0,10,0,0,0,0,3,0,565,0.000,0.017,0.000,0.000,0.000,0.000,0.005,0.000,0.978
,railway = *,0,0,0,0,0,0,0,0,1725,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
,aeroway = *,0,0,0,0,0,0,0,0,16,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
#,industrial,1,38,0,1,9,0,1,0,603,0.002,0.058,0.000,0.002,0.014,0.000,0.002,0.000,0.923
,landuse = industrial,1,38,0,1,9,0,1,0,370,0.002,0.090,0.000,0.002,0.021,0.000,0.002,0.000,0.881
,building = industrial,0,0,0,0,0,0,0,0,128,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
,building = warehouse,0,0,0,0,0,0,0,0,28,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
