lvl,category,all,all be,all ru,all be%,all ru%,uniq,uniq be,uniq ru,uniq be%,uniq ru%
#,admin,2,2,1,1.000,0.500,2,2,1,1.000,0.500
,admin_level = 2,1,1,0,1.000,0.000,1,1,0,1.000,0.000
,admin_level = 4,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,admin_level = 6,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,admin_level = 8,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,admin_level = 9,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,::label = *,1,1,1,1.000,1.000,1,1,1,1.000,1.000
#,place,26,1,0,0.038,0.000,17,1,0,0.059,0.000
,place = city,1,0,0,0.000,0.000,1,0,0,0.000,0.000
,place = town,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,place = village,2,0,0,0.000,0.000,2,0,0,0.000,0.000
,place = hamlet,11,0,0,0.000,0.000,9,0,0,0.000,0.000
,place = isolated_dwelling,2,0,0,0.000,0.000,2,0,0,0.000,0.000
,boundary = administrative,4,1,0,0.250,0.000,4,1,0,0.250,0.000
,traffic_sign = city_limit,9,0,0,0.000,0.000,2,0,0,0.000,0.000
,admin_level = *,3,0,0,0.000,0.000,3,0,0,0.000,0.000
#,allotments,12,0,1,0.000,0.083,9,0,1,0.000,0.111
,place = allotments,3,0,0,0.000,0.000,3,0,0,0.000,0.000
,landuse = allotments,9,0,1,0.000,0.111,8,0,1,0.000,0.125
,allotments = *,4,0,0,0.000,0.000,3,0,0,0.000,0.000
#,locality,39,1,1,0.026,0.026,31,1,1,0.032,0.032
,place = locality,39,1,1,0.026,0.026,31,1,1,0.032,0.032
,abandoned:place = *,6,1,1,0.167,0.167,5,1,1,0.200,0.200
#,suburb,254,23,23,0.091,0.091,241,21,21,0.087,0.087
,landuse = cemetery,46,11,11,0.239,0.239,42,9,9,0.214,0.214
,landuse = commercial,4,0,0,0.000,0.000,4,0,0,0.000,0.000
,landuse = construction,10,1,1,0.100,0.100,10,1,1,0.100,0.100
,landuse = farmland,9,0,0,0.000,0.000,8,0,0,0.000,0.000
,landuse = farmyard,16,1,0,0.062,0.000,15,1,0,0.067,0.000
,landuse = residential,17,0,0,0.000,0.000,17,0,0,0.000,0.000
,landuse = retail,3,0,0,0.000,0.000,3,0,0,0.000,0.000
,leisure = park,76,6,6,0.079,0.079,76,6,6,0.079,0.079
,leisure = garden,5,0,0,0.000,0.000,5,0,0,0.000,0.000
,amenity = marketplace,6,0,0,0.000,0.000,6,0,0,0.000,0.000
,place = *,17,0,0,0.000,0.000,15,0,0,0.000,0.000
,residential = *,13,0,0,0.000,0.000,13,0,0,0.000,0.000
,landuse = *,53,4,5,0.075,0.094,49,4,5,0.082,0.102
#,natural,2184,504,509,0.231,0.233,247,5,9,0.020,0.036
,place = island,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,place = islet,1,0,0,0.000,0.000,1,0,0,0.000,0.000
,landuse = forest,6,0,0,0.000,0.000,6,0,0,0.000,0.000
,leisure = nature_reserve,4,0,0,0.000,0.000,4,0,0,0.000,0.000
,boundary = *,520,501,502,0.963,0.965,18,2,3,0.111,0.167
,natural = *,1649,3,7,0.002,0.004,216,3,6,0.014,0.028
,ele = *,20,2,4,0.100,0.200,19,2,3,0.105,0.158
#,water,298,65,65,0.218,0.218,199,23,22,0.116,0.111
,waterway = drain,0,0,0,0.000,0.000,0,0,0,0.000,0.000
