lvl,category,all,all be,all ru,all be%,all ru%,uniq,uniq be,uniq ru,uniq be%,uniq ru%
#,admin,175,175,175,1.000,1.000,4,4,4,1.000,1.000
,admin_level = 2,1,1,1,1.000,1.000,1,1,1,1.000,1.000
,admin_level = 4,1,1,1,1.000,1.000,1,1,1,1.000,1.000
,admin_level = 6,10,10,10,1.000,1.000,1,1,1,1.000,1.000
,admin_level = 8,163,163,163,1.000,1.000,4,4,4,1.000,1.000
,admin_level = 9,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,::label = *,0,0,0,0.000,0.000,0,0,0,0.000,0.000
#,place,45049,45047,45049,1.000,1.000,11,10,10,0.909,0.909
,place = city,31,31,31,1.000,1.000,1,1,1,1.000,1.000
,place = town,376,376,376,1.000,1.000,7,7,7,1.000,1.000
,place = village,4900,4898,4900,1.000,1.000,8,8,8,1.000,1.000
,place = hamlet,38356,38356,38356,1.000,1.000,6,5,5,0.833,0.833
,place = isolated_dwelling,1283,1283,1283,1.000,1.000,4,4,4,1.000,1.000
,boundary = administrative,22521,22520,22521,1.000,1.000,11,10,10,0.909,0.909
,traffic_sign = city_limit,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,admin_level = *,22353,22352,22353,1.000,1.000,11,10,10,0.909,0.909
#,allotments,9,5,4,0.556,0.444,3,2,1,0.667,0.333
,place = allotments,9,5,4,0.556,0.444,3,2,1,0.667,0.333
,landuse = allotments,8,4,4,0.500,0.500,2,1,1,0.500,0.500
,allotments = *,0,0,0,0.000,0.000,0,0,0,0.000,0.000
#,locality,11864,11860,11859,1.000,1.000,7,5,5,0.714,0.714
,place = locality,11787,11783,11782,1.000,1.000,7,5,5,0.714,0.714
,abandoned:place = *,2981,2981,2981,1.000,1.000,5,4,4,0.800,0.800
#,suburb,168,163,163,0.970,0.970,19,13,13,0.684,0.684
,landuse = cemetery,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,landuse = commercial,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,landuse = construction,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,landuse = farmland,4,4,4,1.000,1.000,2,1,1,0.500,0.500
,landuse = farmyard,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,landuse = residential,34,34,34,1.000,1.000,8,7,7,0.875,0.875
,landuse = retail,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,leisure = park,1,1,1,1.000,1.000,1,1,1,1.000,1.000
,leisure = garden,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,amenity = marketplace,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,place = *,105,104,104,0.990,0.990,12,9,9,0.750,0.750
,residential = *,30,30,30,1.000,1.000,6,6,6,1.000,1.000
,landuse = *,9,5,5,0.556,0.556,5,2,2,0.400,0.400
#,natural,662,658,658,0.994,0.994,13,10,10,0.769,0.769
,place = island,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,place = islet,3,3,3,1.000,1.000,1,1,1,1.000,1.000
,landuse = forest,117,117,117,1.000,1.000,2,1,1,0.500,0.500
,leisure = nature_reserve,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,boundary = *,415,415,415,1.000,1.000,7,5,5,0.714,0.714
,natural = *,107,103,103,0.963,0.963,5,3,3,0.600,0.600
