lvl,category,all,all be,all ru,all be%,all ru%,uniq,uniq be,uniq ru,uniq be%,uniq ru%
#,admin,1,1,1,1.000,1.000,1,1,1,1.000,1.000
,admin_level = 2,1,1,1,1.000,1.000,1,1,1,1.000,1.000
,admin_level = 4,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,admin_level = 6,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,admin_level = 8,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,admin_level = 9,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,::label = *,0,0,0,0.000,0.000,0,0,0,0.000,0.000
#,place,44,12,12,0.273,0.273,26,8,8,0.308,0.308
,place = city,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,place = town,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,place = village,12,6,6,0.500,0.500,8,4,4,0.500,0.500
,place = hamlet,19,4,4,0.211,0.211,10,2,2,0.200,0.200
,place = isolated_dwelling,11,0,0,0.000,0.000,6,0,0,0.000,0.000
,boundary = administrative,23,7,7,0.304,0.304,23,7,7,0.304,0.304
,traffic_sign = city_limit,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,admin_level = *,22,6,6,0.273,0.273,22,6,6,0.273,0.273
#,allotments,3367,3358,3365,0.997,0.999,2432,2423,2337,0.996,0.961
,place = allotments,3342,3336,3341,0.998,1.000,2409,2403,2322,0.998,0.964
,landuse = allotments,3218,3211,3216,0.998,0.999,2301,2294,2309,0.997,1.003
,allotments = *,36,36,36,1.000,1.000,30,30,30,1.000,1.000
#,locality,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,place = locality,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,abandoned:place = *,0,0,0,0.000,0.000,0,0,0,0.000,0.000
#,suburb,102,35,34,0.343,0.333,97,31,30,0.320,0.309
,landuse = cemetery,2,0,0,0.000,0.000,2,0,0,0.000,0.000
,landuse = commercial,1,1,1,1.000,1.000,1,1,1,1.000,1.000
,landuse = construction,2,0,0,0.000,0.000,2,0,0,0.000,0.000
,landuse = farmland,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,landuse = farmyard,7,2,2,0.286,0.286,7,2,2,0.286,0.286
,landuse = residential,4,2,2,0.500,0.500,4,2,2,0.500,0.500
,landuse = retail,4,0,0,0.000,0.000,4,0,0,0.000,0.000
,leisure = park,5,1,1,0.200,0.200,5,1,1,0.200,0.200
,leisure = garden,2,1,1,0.500,0.500,2,1,1,0.500,0.500
,amenity = marketplace,3,0,0,0.000,0.000,3,0,0,0.000,0.000
,place = *,7,1,1,0.143,0.143,6,1,1,0.167,0.167
,residential = *,22,20,20,0.909,0.909,18,16,16,0.889,0.889
,landuse = *,50,9,8,0.180,0.160,50,9,8,0.180,0.160
#,natural,25,5,3,0.200,0.120,25,5,3,0.200,0.120
,place = island,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,place = islet,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,landuse = forest,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,leisure = nature_reserve,17,4,2,0.235,0.118,17,4,2,0.235,0.118
,boundary = *,21,5,3,0.238,0.143,21,5,3,0.238,0.143
,natural = *,5,0,0,0.000,0.000,5,0,0,0.000,0.000
,ele = *,0,0,0,0.000,0.000,0,0,0,0.000,0.000
#,water,4,2,2,0.500,0.500,4,2,2,0.500,0.500
,waterway = drain,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,waterway = ditch,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,waterway = stream,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,waterway = river,1,0,0,0.000,0.000,1,0,0,0.000,0.000
,waterway = canal,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,type = waterway,1,0,0,0.000,0.000,1,0,0,0.000,0.000
,type = watershed,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,natural = water,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,natural = spring,3,2,2,0.667,0.667,3,2,2,0.667,0.667
,tunnel = *,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,waterway = *,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,water = *,0,0,0,0.000,0.000,0,0,0,0.000,0.000
#,highway,89,85,83,0.955,0.933,40,36,34,0.900,0.850
,highway = motorway,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,highway = trunk,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,highway = primary,2,2,2,1.000,1.000,1,1,1,1.000,1.000
,highway = secondary,9,9,9,1.000,1.000,2,2,2,1.000,1.000
,highway = tertiary,6,6,6,1.000,1.000,2,2,2,1.000,1.000
,highway = unclassified,1,1,1,1.000,1.000,1,1,1,1.000,1.000
,highway = residential,63,59,57,0.937,0.905,28,24,23,0.857,0.821
,highway = service,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,highway = track,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,type = associatedStreet,3,3,3,1.000,1.000,3,3,3,1.000,1.000
,type = street,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,highway = *,5,5,5,1.000,1.000,5,5,5,1.000,1.000
,bridge = *,1,1,1,1.000,1.000,1,1,1,1.000,1.000
#,public_transport,29,20,20,0.690,0.690,13,7,7,0.538,0.538
,highway = bus_stop,9,9,9,1.000,1.000,6,6,6,1.000,1.000
,type = route,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,type = route_master,1,0,0,0.000,0.000,1,0,0,0.000,0.000
,type = disused:route,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,type = public_transport,5,5,5,1.000,1.000,4,4,4,1.000,1.000
,building = train_station,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,building = transportation,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,amenity = bus_station,2,0,0,0.000,0.000,2,0,0,0.000,0.000
,amenity = ferry_terminal,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,public_transport = *,23,20,20,0.870,0.870,8,7,7,0.875,0.875
,route = *,1,0,0,0.000,0.000,1,0,0,0.000,0.000
,route_master = *,1,0,0,0.000,0.000,1,0,0,0.000,0.000
,railway = *,1,0,0,0.000,0.000,1,0,0,0.000,0.000
,aeroway = *,2,0,0,0.000,0.000,2,0,0,0.000,0.000
#,industrial,165,13,11,0.079,0.067,161,13,11,0.081,0.068
,landuse = industrial,149,11,9,0.074,0.060,146,11,9,0.075,0.062
,building = industrial,15,2,2,0.133,0.133,15,2,2,0.133,0.133
,building = warehouse,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,office = construction_company,1,0,0,0.000,0.000,1,0,0,0.000,0.000
,industrial = *,22,4,3,0.182,0.136,21,4,3,0.190,0.143
#,infrastructure,687,80,79,0.116,0.115,633,79,78,0.125,0.123
,amenity = fuel,143,16,16,0.112,0.112,111,16,16,0.144,0.144
,building = service,41,1,1,0.024,0.024,40,1,1,0.025,0.025
,barrier = *,397,55,56,0.139,0.141,395,54,55,0.137,0.139
,power = *,118,5,4,0.042,0.034,108,5,4,0.046,0.037
,substation = *,70,3,2,0.043,0.029,70,3,2,0.043,0.029
,pipeline = *,1,0,0,0.000,0.000,1,0,0,0.000,0.000
,man_made = *,81,4,3,0.049,0.037,71,4,3,0.056,0.042
,embankment = *,0,0,0,0.000,0.000,0,0,0,0.000,0.000
#,religion,12,4,4,0.333,0.333,11,4,4,0.364,0.364
,amenity = place_of_worship,9,2,2,0.222,0.222,9,2,2,0.222,0.222
,amenity = monastery,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,amenity = grave_yard,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,building = church,8,3,3,0.375,0.375,8,3,3,0.375,0.375
,building = cathedral,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,building = chapel,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,religion = *,11,3,3,0.273,0.273,10,3,3,0.300,0.300
,cemetery = *,0,0,0,0.000,0.000,0,0,0,0.000,0.000
#,education,931,79,152,0.085,0.163,920,74,147,0.080,0.160
,landuse = education,53,7,7,0.132,0.132,52,7,7,0.135,0.135
,amenity = university,21,7,7,0.333,0.333,16,2,2,0.125,0.125
,amenity = college,69,8,8,0.116,0.116,65,8,8,0.123,0.123
,amenity = school,449,33,36,0.073,0.080,449,33,36,0.073,0.080
,amenity = kindergarten,221,13,15,0.059,0.068,220,13,15,0.059,0.068
,amenity = arts_centre,11,0,0,0.000,0.000,11,0,0,0.000,0.000
,amenity = music_school,13,0,1,0.000,0.077,13,0,1,0.000,0.077
,building = university,4,3,3,0.750,0.750,4,3,3,0.750,0.750
,building = college,8,1,1,0.125,0.125,8,1,1,0.125,0.125
,building = school,68,4,39,0.059,0.574,68,4,39,0.059,0.574
,building = kindergarten,63,11,43,0.175,0.683,63,11,43,0.175,0.683
,building = dormitory,14,0,0,0.000,0.000,14,0,0,0.000,0.000
,office = educational_institution,7,1,1,0.143,0.143,6,1,1,0.167,0.167
,faculty = *,0,0,0,0.000,0.000,0,0,0,0.000,0.000
#,healthcare,295,18,20,0.061,0.068,255,17,19,0.067,0.075
,amenity = hospital,64,5,6,0.078,0.094,64,5,6,0.078,0.094
,amenity = pharmacy,105,0,0,0.000,0.000,96,0,0,0.000,0.000
,amenity = clinic,79,5,5,0.063,0.063,51,5,5,0.098,0.098
,amenity = doctors,19,7,8,0.368,0.421,18,6,7,0.333,0.389
,amenity = dentist,13,0,0,0.000,0.000,13,0,0,0.000,0.000
,amenity = veterinary,7,0,0,0.000,0.000,7,0,0,0.000,0.000
,building = hospital,11,1,1,0.091,0.091,11,1,1,0.091,0.091
,building = clinic,9,1,0,0.111,0.000,9,1,0,0.111,0.000
,emergency = *,39,4,4,0.103,0.103,39,4,4,0.103,0.103
,healthcare = *,216,14,15,0.065,0.069,181,13,14,0.072,0.077
#,government,449,113,116,0.252,0.258,439,103,106,0.235,0.241
,amenity = fire_station,15,2,2,0.133,0.133,15,2,2,0.133,0.133
,amenity = ranger_station,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,amenity = townhall,14,1,1,0.071,0.071,14,1,1,0.071,0.071
,amenity = post_office,159,79,79,0.497,0.497,150,69,69,0.460,0.460
,amenity = post_box,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,amenity = police,32,5,5,0.156,0.156,31,5,5,0.161,0.161
,amenity = prison,3,2,2,0.667,0.667,3,2,2,0.667,0.667
,amenity = courthouse,4,1,1,0.250,0.250,4,1,1,0.250,0.250
,amenity = customs,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,amenity = mortuary,2,0,0,0.000,0.000,2,0,0,0.000,0.000
,amenity = library,19,4,4,0.211,0.211,19,4,4,0.211,0.211
,amenity = theatre,5,1,1,0.200,0.200,5,1,1,0.200,0.200
,amenity = cinema,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,amenity = community_centre,19,2,2,0.105,0.105,19,2,2,0.105,0.105
,amenity = social_facility,18,2,2,0.111,0.111,18,2,2,0.111,0.111
,amenity = public_building,1,0,0,0.000,0.000,1,0,0,0.000,0.000
,amenity = public_bath,1,0,0,0.000,0.000,1,0,0,0.000,0.000
,amenity = vehicle_inspection,6,0,0,0.000,0.000,6,0,0,0.000,0.000
,office = government,110,8,12,0.073,0.109,110,8,12,0.073,0.109
,office = diplomatic,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,office = newspaper,1,0,0,0.000,0.000,1,0,0,0.000,0.000
,office = research,15,1,1,0.067,0.067,15,1,1,0.067,0.067
,office = forestry,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,office = energy_supplier,4,2,2,0.500,0.500,4,2,2,0.500,0.500
,office = utility,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,office = foundation,1,0,0,0.000,0.000,1,0,0,0.000,0.000
,office = notary,3,0,0,0.000,0.000,3,0,0,0.000,0.000
,building = public,16,1,2,0.062,0.125,16,1,2,0.062,0.125
,landuse = military,7,2,0,0.286,0.000,7,2,0,0.286,0.000
,government = *,72,6,8,0.083,0.111,72,6,8,0.083,0.111
,military = *,4,1,0,0.250,0.000,4,1,0,0.250,0.000
,embassy = *,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,diplomatic = *,0,0,0,0.000,0.000,0,0,0,0.000,0.000
#,bank,62,9,9,0.145,0.145,62,9,9,0.145,0.145
,amenity = atm,9,0,0,0.000,0.000,9,0,0,0.000,0.000
,amenity = bank,46,9,9,0.196,0.196,46,9,9,0.196,0.196
,amenity = bureau_de_change,7,0,0,0.000,0.000,7,0,0,0.000,0.000
#,tourism,50,7,10,0.140,0.200,50,7,10,0.140,0.200
,building = bunker,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,building = ruins,0,0,0,0.000,0.000,0,0,0,0.000,0.000
,amenity = fountain,0,0,0,0.000,0.000,0,0,0,0.000,0.000
